id_of_post,NN,NNP,JJ,VBZ,VBP,RB,VBD,IN,NNS,LS,TO,VBN,WP,UH,VBG,DT,PRP,WP$,NNPS,PRP$,WDT,RBR,RBS,FW,RP,JJR,JJS,PDT,MD,VB,WRB,EX,SYM,CC,CD,POS,'',(,),.,",",:,``,$,--,#,likes_of_post
B8yse2xHy8T,10,11,5,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,3,2,,,,,,79
B24V7ofHEkU,37,29,19,2,4,2,2,3,2,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,7,8,1,,,,,76
CBsnsqxnd0u,10,6,3,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,122
B7qEBCtHyN_,26,25,16,1,6,1,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,11,2,,,,,,89
CSa_D-0qKNC,18,25,13,2,1,3,,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,1,1,7,2,1,,,,,
CI3lUd2HTpJ,21,25,13,,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,8,1,1,,,,,97
BvveWzTAf9T,62,65,19,8,1,2,6,5,2,,,,3,,,1,,,,,,,,5,,,,,,1,,,,1,,,,,,11,5,2,,,,,97
CH0kSzjH3ln,,,2,,,1,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,88
B-wXZYBnhDW,15,29,6,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,2,1,4,,,,1,134
CDTWYraCQ8s,37,49,13,3,3,3,4,4,2,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,1,,1,,,10,6,3,1,,,,145
CDdyhJ4Cmx8,37,28,13,,4,1,1,3,3,,,,,,,2,1,,,,,,,,,,,,,,,,,1,1,,,1,1,9,3,1,,,,,163
CD_W8YpnC9U,14,10,3,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,142
B6aUei0nAP7,29,23,14,2,1,5,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,4,4,3,,,,,
CBVIwqPnCJR,7,30,3,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,,142
CBKwgP_H8ld,13,25,5,3,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,171
CC3qw8QKjyh,17,20,7,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,89
CQGI5InntVB,16,10,5,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,
B_cJWPHnZf8,14,13,11,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,107
CHCfc8aHB-r,7,15,7,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,,,,,114
CSQvIFeCnAk,34,27,14,4,,2,2,3,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,,,6,1,,,,,,190
B1L9opNndlG,7,7,2,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,68
BxHJZgMAYMo,11,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,,61
BzF2DXwHDIN,11,7,7,1,2,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,,,,,,56
CSGYrr-C_MV,31,26,12,2,,4,,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,4,,,,,,83
BwC4lBhgJTx,54,43,23,,1,2,7,4,2,,,,,,,1,,,,,,,,,,,,,1,1,,,,1,1,,,,1,9,7,1,,,,,62
B6P1-hanaFk,2,9,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,74
CLRRHOJnCrT,1,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,300
CGR7Xjkncxy,8,20,7,1,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,148
B_mmXKinyvK,13,6,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,1,,,,,129
CDBUvpMqU2u,26,24,11,2,3,,2,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,2,2,,,,1,181
BxRJFomA0fZ,15,11,11,2,1,2,2,4,4,,1,,1,,2,,3,,,1,,,1,,,,,,2,3,,,,,1,,,,2,7,2,2,,,,,63
B9T92ZZnxUQ,17,29,14,1,4,,2,1,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,3,,,,,6,2,4,,,,1,119
B1wSWqgnJ3K,34,30,12,1,2,,2,3,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,2,,,,,8,2,1,,,,,48
CDyP5XSCALU,16,12,7,,1,3,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,6,3,,,,,,130
B9CCkRjHH5Y,26,29,11,1,2,,,4,2,,1,,2,,,1,,,,,,,,,,,,,1,1,,,,1,,,,,,4,3,5,,,,1,118
By9aa3bH-YQ,11,7,10,1,2,,1,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,,,,,52
CIBXtSan5gd,6,7,1,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,91
CFfCeoTCgin,10,8,3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,,,,,127
CDhFQWpinpy,14,26,6,1,2,1,1,6,1,,,,,,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,7,3,,,,,,126
CHnu_UhnuVH,41,51,11,3,4,2,4,6,2,,,,,,,,,,1,,,,,1,,,,,,1,,,,1,6,,,2,2,6,4,,,,,,317
CGXvYdKCO2U,17,21,8,1,,,1,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,4,,,,,,105
B0VlcX2lv6G,1,3,,1,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,45
CCdRoaJClQ0,15,10,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,1,1,,,,,125
B94U6_une82,11,10,3,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,1,,,115
BysNllKI0Og,19,18,10,,1,2,2,2,2,,,,,,,1,,,,,,,,,,,,,1,1,,,,2,2,,,,,6,,,,,,,59
CQaXraEHa8V,22,14,7,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,6,1,2,,,,,96
CKEfLtnHqsI,27,39,6,2,5,3,,3,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,3,1,,,,,85
B1tiVm0nAF3,18,15,6,1,2,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,73
CMM97xpHi7V,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCrHYYqitrY,25,30,2,4,1,1,1,1,1,,,,,,,3,,,,,,,,,,,,,,1,,,,2,1,,,1,1,2,1,1,,,,,127
B2e5GCNno7m,9,7,6,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,79
CPfcb4InPN_,7,12,4,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,105
CHSbYGwnE6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCF6SFrnaQw,16,18,9,1,1,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,4,,,,,,,159
B8wIuPLH-QR,7,13,1,2,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,105
CK9ErPKnSlG,10,15,7,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,3,,,,,,73
B1lO6f8njzV,34,41,9,4,1,2,5,5,1,,,,1,,,,1,,,,,,,2,,,,,,,,,,,5,1,,,,6,3,2,,,,,81
CIvzOpoHMlp,44,51,15,4,2,2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,1,1,11,,2,,,,,213
CQJQ7GOnPWD,63,53,25,3,3,2,4,6,6,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,,1,2,18,7,5,,1,,,
CBA1F0gnH1g,12,15,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,
Bvs-LzJg-Ds,15,8,4,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,57
ByYDcRUH2-_,33,24,14,2,2,3,,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,5,3,1,,,,,81
CJyruutH6ax,8,8,3,1,1,1,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,92
CL4UTAun3AH,18,25,12,2,2,2,1,2,1,,,2,1,,,1,,,,,,,,,,,,,1,2,,,,,,,,1,1,10,,1,,,,,84
CCvSSVLiLnj,10,13,,,4,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,4,,,,,,96
B_0Yf3dHav1,17,22,10,,,1,1,2,1,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,10,1,,,,,,151
B2mWaOYHzJ-,54,44,15,3,3,2,1,3,4,,,,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,10,6,,,,,,88
CM4_1mBnP_6,3,5,4,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,71
BxOjeZgADNp,33,24,11,2,4,2,3,2,3,,,,2,,,,,,,,,,,2,,,,,,,,,,,1,,,,,4,1,,,,,,54
CCZF16Xi7l7,19,20,9,5,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,1,,1,,2,,,,,5,1,1,,,,,114
BvyF9PQg-g3,51,31,13,3,1,,4,2,2,,,,2,,,1,,,,,,,,1,,,,,,1,,,,,1,,,1,2,8,1,1,,,,,88
B2zo0TFHslB,28,25,18,2,,2,4,2,,,,,1,,,,,,,,,,,,,,,,1,1,,,,2,1,,1,,,6,1,1,1,,,,77
CD3O_Y3pCUA,7,4,2,1,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,1,,2,,,,,,3,2,1,,,,,105
CBiS_NqHwop,36,39,17,,1,,2,9,,,,1,1,,,1,,,,,,,,,1,,,,,1,,,,,4,,,,,11,9,3,,,,,
CBBdjj6n5Gf,1,6,1,1,1,2,1,1,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,1,4,,1,,,,,145
CNzw3NxHiHE,52,58,25,6,2,2,4,7,4,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,4,,,2,2,12,2,2,,,,,183
