community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 257,"['southdownsnationalpark', 'antennesteiermark', 'dreiuhrnachts', 'sertanejo', 'idontneedbodyguards', 'austrianradio', 'brothers', 'syonlounge', 'anittabrazil', 'cafeeamor', 'bodyguard', 'gusttavolima', 'JaPercebeuQueQuandoEuSorrio', 'naopercomeutempo', 'tchau', 'markfoster', 'beijinhos', 'myseagullfriend', 'nuncamais', '2daysapart', 'imfromthesouthbronx']",20.9,,,,levenshtein cluster 257,"['jp', 'nebel', 'bts', 'uae', 'bf', 'dell', 'öbb', 'grow', 'ikea', 'dxb', 'atp', 'benq', 'dp', 'usa', 'cpu', 'cgi', 'vfx', 'new', 'c4d', 'veli', 'dji']",22.799999999999997,,,
community cluster 258,"['letsgooutout', 'waitinginvain', 'sobrancelhas', 'brasileira', 'croatia2017', 'nuncamaiselevaiter', 'sertanejo', 'bobmarley', 'kevinho', 'tudook', 'tigertiger', 'OMotivoNaoEMaisVoce', 'thiaguinho', 'valentine', 'brazilianfunk', 'dancingshoes', 'EuPrefiroMeuCafeQuente', 'theoneilovethemost', 'withmybitches', 'OuCoisaParecida', 'umabebedessa']",21.849999999999998,,,,levenshtein cluster 258,"['bmw', 'nye', 'chef', 'mare', 'diy', 'cold', 'a7s', 'xeen', 'cine', 'ocean', 'feiern', 'dose', 'hanf', 'job', 'wow', 'singen', 'new', 'beeren', 'pure']",44.1,,,
community cluster 259,"['sara', 'staytuned', 'frucht', 'foryourlove', 'reggae', 'icetea', 'sertanejo', 'newdrink', 'nightout', 'energy', 'london', 'fifty9', 'eistee', 'summer', 'antics', 'abnehmen', 'lernen', 'summervibes', 'eliasbirthday', 'dontwannawaitinvain']",92.0,,,,levenshtein cluster 259,"['repost', 'hotel', 'bye', 'bf', 'Repost', 'women', 'herz', 'best', 'rost', 'wermut', 'prost', 'meat', 'forest', 'health', 'bay', 'ship', 'herbst', 'horse', 'beauty', 'bhfyp']",54.0,,,
community cluster 260,"['staytuned', 'nachhaltig', 'brot', 'lernen', 'nachhaltigkeit', 'newdrink', 'frucht', 'summervibes', 'koffein', 'sustainable', 'summer', 'throwback', 'drink', 'energy', 'abnehmen', 'split', 'erfrischungsgetränk']",124.19999999999999,,,,levenshtein cluster 260,"['women', 'beats', 'jeans', 'benq', 'zeit', 'trees', 'jan', 'dec', 'red', 'game', 'deko', 'team', 'see', 'wein', 'town', 'veli', 'dell', 'meow']",39.6,,,
community cluster 261,"['liebe', 'freiheit', 'bewusstheit', 'klarheit', 'folgedeinemherzen', 'bewusstsein', 'selbstbewusstsein', 'soundhorn', 'dubistwertvoll', 'glaubandich', 'achtsamkeit', 'selbstliebe', 'berufung', 'herzensfreude', 'herzensweg', 'zitamartus', 'meditation', 'wahrheit', 'wahrheitleben', 'mut', 'lebensfreude']",47.5,,,,levenshtein cluster 261,"['cpu', 'chai', 'jan', 'chef', 'cgi', 'milktea', 'cider', 'vfx', 'cherry', 'ship', 'c4d', 'energy', 'easter', 'razer', 'dji', 'ikea']",32.4,,,
community cluster 262,"['liebe', 'freiheit', 'bewusstheit', 'klarheit', 'folgedeinemherzen', 'freude', 'bewusstsein', 'selbstbewusstsein', 'soundhorn', 'dubistwertvoll', 'glaubandich', 'achtsamkeit', 'selbstliebe', 'berufung', 'herzensweg', 'zitamartus', 'meditation', 'wahrheit', 'wahrheitleben', 'mut', 'lebensfreude']",50.349999999999994,,,,levenshtein cluster 262,"['meeting', 'wedding']",9.5,,,
community cluster 263,"['liebe', 'freiheit', 'bewusstheit', 'klarheit', 'folgedeinemherzen', 'bewusstsein', 'selbstbewusstsein', 'soundhorn', 'dubistwertvoll', 'glaubandich', 'selbstliebe', 'berufung', 'herzensfreude', 'herzensweg', 'zitamartus', 'meditation', 'wahrheit', 'mut', 'wahrheitleben', 'lebensfreude']",47.0,,,,levenshtein cluster 263,"['gönnung', 'running', 'reading']",14.8,,,
community cluster 264,"['glaubandich', 'wahrheit', 'wahrheitleben', 'mut', 'folgedeinemherzen', 'selbstliebe', 'berufung', 'zitamartus', 'liebe', 'bewusstsein', 'lebensfreude', 'soundhorn', 'selbstbewusstsein', 'bewusstheit', 'herzensfreude', 'herzensweg', 'klarheit', 'dubistwertvoll']",46.2,,,,levenshtein cluster 264,"['hotel', 'hitze', 'cool', 'quotes', 'snow', 'pool', 'nye', 'mate', 'foto', 'photo', 'shots', 'vote', 'water', 'wood', 'tee', 'news', 'mode', 'dose', 'apfel', 'torte']",55.0,,,
community cluster 265,"['glaubandich', 'wahrheit', 'wahrheitleben', 'folgedeinemherzen', 'selbstliebe', 'liebe', 'lebensfreude', 'soundhorn', 'selbstbewusstsein', 'bewusstheit', 'herzensfreude', 'herzensweg', 'zitamartus', 'dubistwertvoll']",41.6,,,,levenshtein cluster 265,"['bts', 'selfie', 'veggie', 'bf', 'selfmade', 'selflove', 'desert', 'kenya', 'best', 'nye', 'service', 'ikea', 'dxb', 'dp', 'split', 'seaside', 'c4d', 'veli', 'dji', 'brrrt']",38.0,,,
community cluster 266,"['glaubandich', 'wahrheit', 'wahrheitleben', 'mut', 'folgedeinemherzen', 'selbstliebe', 'berufung', 'liebe', 'zitamartus', 'selbstbewusstsein', 'dubistwertvoll', 'bewusstheit', 'herzensfreude', 'herzensweg', 'klarheit', 'soundhorn']",45.6,,,,levenshtein cluster 266,"['metal', 'uae', 'share', 'team', 'flir', 'bf', 'giza', 'dell', 'urban', 'trvp', 'öbb', 'teafarm', 'pool', 'diy', 'ikea', 'atp', 'benq', 'usa', 'em', 'TOP']",33.0,,,
community cluster 267,"['liebe', 'fairtrade', 'bewusstheit', 'gewinnspiel', 'klarheit', 'folgedeinemherzen', 'freude', 'selbstbewusstsein', 'igersgraz', 'igergraz', 'soundhorn', 'dubistwertvoll', 'glaubandich', 'selbstliebe', 'berufung', 'herzensfreude', 'herzensweg', 'zitamartus', 'autorin', 'wahrheit', 'mut']",76.95,,,,levenshtein cluster 267,"['rain', 'great', 'teatime', 'bay', 'bar', 'best', 'herz', 'chai', 'green', 'hvar', 'dream', 'team', 'ocean', 'lend', 'news', 'urban', 'Graz']",51.74999999999999,,,
community cluster 268,"['glaubandich', 'wahrheit', 'klarheit', 'folgedeinemherzen', 'selbstliebe', 'berufung', 'liebe', 'soundhorn', 'selbstbewusstsein', 'bewusstheit', 'herzensweg', 'zitamartus', 'dubistwertvoll']",40.5,,,,levenshtein cluster 268,"['nebel', 'hello', 'trinken', 'dell', 'memes', 'jeans', 'see', 'beats', 'red', 'grillen', 'mode', 'redheels', 'rezept', 'eis', 'green', 'reels', 'singen', 'chillin', 'veli', 'lernen']",43.0,,,
community cluster 269,"['glaubandich', 'wahrheit', 'klarheit', 'folgedeinemherzen', 'selbstliebe', 'liebe', 'bewusstheit', 'herzensweg', 'zitamartus', 'soundhorn']",36.0,,,,levenshtein cluster 269,"['minze', 'jan', 'dec', 'band', 'game', 'urlaub', 'urban', 'brand', 'brunch', 'danke', 'nye', 'rose', 'bier', 'japan', 'red', 'lake', 'mode', 'dose', 'job', 'pop', 'pure']",46.55,,,
community cluster 270,"['glaubandich', 'wahrheit', 'selbstliebe', 'selbstbewusstsein', 'bewusstheit', 'herzensweg', 'zitamartus', 'dubistwertvoll']",27.200000000000003,,,,levenshtein cluster 270,"['refreshing', 'refresh']",13.299999999999999,,,
community cluster 271,"['glaubandich', 'folgedeinemherzen', 'selbstliebe', 'liebe', 'freiheit', 'soundhorn', 'mindset', 'selbstbewusstsein', 'bewusstheit', 'dubistwertvoll']",40.5,,,,levenshtein cluster 271,"['enjoyinglife', 'enjoylife']",9.5,,,
community cluster 272,"['psychotherapie', 'personalisiertelieder', 'sandraburgstaller', 'robertdenk', 'interview', 'personalisiertenamenslieder', 'mutigdiewelterobern', 'namenslieder', 'dubistwertvoll', 'soundhorn', 'glaubandich', 'selbstliebe', 'kinderlieder', 'entspannung', 'herzensweg', 'zitamartus', 'meditation', 'wahrheitleben', 'selbstwert', 'aufstellung', 'wertschätzung']",37.05,,,,levenshtein cluster 272,"['france', 'wald', 'brand', 'brunch', 'africa', 'jeans', 'chef', 'mare', 'frisch', 'beats', 'black', 'benq', 'snacks', 'red', 'crazy', 'küche', 'milch', 'frucht', 'hund', 'nacht', 'brrrt']",38.949999999999996,,,
community cluster 273,"['nachhaltigkeit', 'gründerinnennetzwerk', 'frauennetzwerk', 'steiermark', 'igerswien', 'igersgraz', 'strongertogether', 'podcast', 'startup', 'women', 'girlpower', 'bebrave', 'lunchbreakstories', 'femaleempowerment', 'gründerinnen', 'strongwomen', 'summer2021', 'seiduselbst', 'internationalwomensday', 'femalefounders', 'womenempowerment']",92.14999999999999,,,,levenshtein cluster 273,"['onset', 'vibes', 'lend', 'bmw', 'lunch', 'linz', 'kids', 'herz', 'best', 'diy', 'prost', 'forest', 'deko', 'dose', 'Graz', 'kunst', 'great', 'bay', 'blog', 'meow', 'rain']",48.449999999999996,,,
community cluster 274,"['zerowaste', 'mut', 'lebensmittelretten', 'frühstückingraz', 'igersvienna', 'reiseblogger', 'networking', 'winelover', 'gastronomie', 'empowerment', 'inspiration', 'blogger', 'diesteirerin', 'igerslinz', 'stadtgraz', 'igersgraz', 'lockdown', 'blogger_at']",96.80000000000001,,,,levenshtein cluster 274,"['zeit', 'kino', 'milk', 'fair', 'girl', 'pool', 'grow', 'bier', 'diy', 'see', 'park', 'dusk', 'cold', 'äpfel', 'boss', 'job', 'vino', 'blog', 'pop', 'town', 'pure']",39.9,,,
community cluster 275,"['winelover', 'blogger', 'nocompetitionhere', 'graz', 'fairtrade', 'igerslinz', 'gewinnspiel', 'frauenbusiness', 'steiermark', 'motivationssprüche', 'igergraz', 'blogger_at', 'igersvienna', 'zitateundsprüche', 'kaffeekaffeekaffee', 'diesteirerin', 'michelleobamaquotes', 'gewinnspiel2021', 'starkefrauen', 'mittwochmotivation', 'nocompetition']",97.85,,,,levenshtein cluster 275,"['Repost', 'insta', 'best', 'nye', 'wine', 'mate', 'see', 'dusk', 'dog', 'vote', 'bar', 'duft', 'red', 'like', 'sonne', 'tee', 'news', 'pasta', 'taste', 'blue']",53.0,,,
community cluster 276,"['österreichpodcast', 'sexuellebelästigung', 'nachhaltigkeit', 'empowerment', 'stoppgewaltgegenfrauen', 'internationalerfrauentag', 'frauenfürfrauen', 'equality', 'podcastfürfrauen', 'catcallsofgraz', 'steiermark', 'startup', 'fempreneur', 'igersaustria', 'selbstständig', 'stoppsexuellebelästigung', 'gewaltgegenfrauen', 'strongwomenlifteachotherup', 'summervibes', 'internationalwomensday']",93.0,,,,levenshtein cluster 276,"['jp', 'onset', 'vibe', 'girl', 'bmw', 'trees', 'nye', 'chef', 'mare', 'igers', 'bier', 'diy', 'bar', 'like', 'eis', 'wow', 'bay', 'singer', 'uk', 'krk', 'blue']",42.75,,,
community cluster 277,"['smallbusinesslove', 'nachhaltigkeit', 'empowerment', 'gründungsberatung', 'graz', 'feminism', 'lebensmittelretten', 'fairerschmuck', 'nachhaltigerschmuck', 'steiermark', 'gründung', 'stadtgraz', 'dearmara', 'zerowaste', 'feminismus', 'lockdown', 'frühstückingraz', 'reiseblogger', 'gründungstipps', 'femalefounders']",105.0,,,,levenshtein cluster 277,"['instadaily', 'instadrink']",9.5,,,
community cluster 278,"['frauenpodcast', 'neinsagen', 'nachhaltigkeit', 'gegengewalt', 'graz', 'steiermark', 'igerswien', 'belästigungvonfrauen', 'strongertogether', 'podcast', 'startup', 'women', 'girlpower', 'empoweredwomenempowerwomen', 'femaleempowerment', 'aufstehen', 'strongwomen', 'summer2021', 'internationalwomensday', 'femalefounders', 'womenempowerment']",111.14999999999999,,,,levenshtein cluster 278,"['cats', 'girl', 'vibes', 'herz', 'igers', 'mate', 'see', 'dog', 'meat', 'black', 'bar', 'red', 'cider', 'water', 'lake', 'news', 'girls', 'Graz', 'wow', 'pop', 'reels']",49.4,,,
community cluster 279,"['graz', 'lebensmittelretten', 'podcasting', 'gastronomie', 'igersgermany', 'steiermark', 'stadtgraz', 'krisenmanagement', 'zerowaste', 'unternehmenhelfenunternehmen', 'lockdown', 'autorin', 'frühstückingraz', 'ermutigung', 'mumpreneur', 'schuldenfrei', 'gründerin', 'cafébesitzer', 'cafésingraz', 'unverschwendet', 'mutgewinnt']",95.94999999999999,,,,levenshtein cluster 279,"['happyiris', 'happyplace', 'happytimes', 'happygirl', 'happylife', 'happyfall', 'onehappyiris', 'happydunes']",19.200000000000003,,,
community cluster 280,"['beyourself', 'nobodyshame', 'unternehmerin', 'gründen', 'lyngual', 'steiermark', 'frauen', 'podcast', 'startup', 'sheconomy', 'unternehmer', 'frauenpower', 'nushu', 'igersmunich', 'gründer', 'techstartup', 'summer2021', 'frauenempowerment', 'frauenunterstützenfrauen', 'summervibes', 'machenistwiewollennurkrasser']",72.2,,,,levenshtein cluster 280,"['picture', 'minze', 'hitze', 'milk', 'bingo', 'band', 'game', 'girl', 'autorin', 'austin', 'danke', 'culture', 'wine', 'rose', 'autumn', 'mate', 'future', 'singer', 'hund', 'pure']",43.0,,,
community cluster 281,"['femalefutureforce', 'dubistgutsowiedubist', 'podcastausösterreich', 'speakerin', 'vernetzung', 'femalefuturefestivalgraz', 'steiermark', 'igerswien', 'frauensindschön', 'sommermotto', 'trustyourgut', 'eventfürfrauen', 'femalefuturefestival', 'rolemodel', 'unternehmerinnen', 'wednesday', 'frauensindkeineobjekte', 'elanorroosevelt', 'frausein', 'bosslady', 'selbstundständig']",38.949999999999996,,,,levenshtein cluster 281,"['jp', 'jan', 'bye', 'vibe', 'bmw', 'kids', 'wine', 'nike', 'diy', 'duft', 'red', 'tee', 'deko', 'spicy', 'dose', 'wow', 'india', 'uk', 'krk', 'ship', 'rain']",42.75,,,
community cluster 282,"['igersbregenz', 'mompreneur', 'internationalerfrauentag', 'nushuu', 'womanatwork', 'steiermark', 'karriereundkind', 'stronggirl', 'strongertogether', 'frauensupportenfrauen', 'chefin', 'igeragraz', 'women', 'igersaustria', 'fraueninführung', 'mayaangelou', 'frauentag', 'femaleempowerment', 'verenapausder', 'internationalwomensday', 'karriere']",56.05,,,,levenshtein cluster 282,"['ligt', 'cpu', 'kids', 'herz', 'bts', 'cgi', 'vfx', 'tee', 'chili', 'c4d', 'diy', 'news', 'cold', 'dell', 'dji', 'trvp']",36.0,,,
community cluster 283,"['weitermachen', 'equality', 'pwrwmn', 'motivationzummitnehmen', 'tothegirls', 'fempower', 'solopreneur', 'dontquit', 'steiermark', 'womanhood', 'respectwomen', 'powerwomxn', 'girlpower', 'igershamburg', 'womensupportingwomen', 'powerwoman', 'feminity', 'womeninbusiness', 'ask4more', 'changetheratio', 'womenempowerment']",39.9,,,,levenshtein cluster 283,"['africa', 'office']",7.6,,,
community cluster 284,"['tippsfürgründerinnen', 'femaleleader', 'wuexecutiveacademy', 'womenintech', 'führungskräfteentwicklung', 'steiermark', 'femaleleaders', 'femaleleadership', 'networking', 'schicksalsschlag', 'techleader', 'expatlife', 'wunderweiber', 'networkingqueen', 'weitergehts', 'strongwomen', 'femaleempowermentproject', 'podcastersofinstagram', 'inspiration', 'bosnia', 'neueepisode']",50.349999999999994,,,,levenshtein cluster 284,"['couple', 'yoga', 'lend', 'chef', 'gala', 'wine', 'cold', 'dog', 'atp', 'vote', 'proud', 'bar', 'chill', 'moon', 'boss', 'wood', 'chili', 'wow', 'town', 'veli']",45.0,,,
community cluster 285,"['frauenkaffee', 'interview', 'gründermütter', 'shepreneur', 'bunacoffee', 'steiermark', 'muttutgut', 'happyweekend', 'womenincoffee', 'steirerin', 'diesteirerin', 'femalelead', 'makingitinaustria', 'coffeebreak', 'mut', 'resilenz', 'brenebrownquotes', 'aufstehenkronerichtenweitergehen', 'kaffeeliebe', 'frauenimbusiness', 'buna']",47.5,,,,levenshtein cluster 285,"['band', 'women', 'rost', 'rose', 'mate', 'see', 'sofree', 'tomaten', 'foto', 'red', 'wood', 'moda', 'sonne', 'mode', 'dose', 'job', 'blog', 'pop', 'torte', 'hund', 'horse']",45.599999999999994,,,
community cluster 286,"['reiselust', 'onlinemarketing', 'kleinunternehmen', 'girlcrush', 'blogger', 'igerslinz', 'frauenintech', 'reisenreisenreisen', 'steiermark', 'blogger_at', 'frauenintechnik', 'chancennutzen', 'podcastösterreich', 'blogging', 'reisen2021', 'reisenfuerweltentdecker', 'reiseblogger', 'reisen', 'diemacherin', 'mutzurlücke', 'steirerinawawards2020']",38.949999999999996,,,,levenshtein cluster 286,"['events', 'cats', 'uae', 'women', 'jeans', 'danke', 'trees', 'eventants', 'park', 'presents', 'beats', 'moments', 'tarte', 'polenta', 'deko', 'lake', 'eis', 'plants', 'ananas']",38.85,,,
community cluster 287,"['kindundbusiness', 'motivationalquotes', 'macherin', 'winelover', 'leitung', 'igersbosnia', 'podcastfrauen', 'nowhining', 'businessfrau', 'steiermark', 'lebeninfülle', 'mamablogger', 'storytime', 'techfrauen', 'deinegeschichtezählt', 'femtech', 'ownyourstory', 'podcastgründerleben', 'doers', 'podcastgespräch', 'grazerbusinessmamas']",38.0,,,,levenshtein cluster 287,"['doityourself', 'loveyourself']",9.5,,,
community cluster 288,"['podcaststories', 'podcastdeutschland', 'bücher2021', 'crowdfunding', 'weekendvibes', 'fun', 'insta', 'steiermark', 'fraueningraz', 'biografiearbeit', 'unruhestand', 'poscastösterreich', 'frauenvorbilder', 'fashion', 'büchersüchtig', 'lockdown', 'frauengeschichte', 'gründerstory', 'pioniere', 'unternehmerstory', 'bücherliebe']",71.25,,,,levenshtein cluster 288,"['chocolate', 'hotchocolate', 'schokolade']",14.8,,,
community cluster 289,"['zerowaste', 'lebensmittelretten', 'summer2021', 'nachhaltigkeit', 'frühstückingraz', 'gastronomie', 'igersaustria', 'inspiration', 'femalefounders', 'interview', 'gründerin', 'happyweekend', 'femaleempowerment', 'gründer', 'bosslady', 'podcast', 'startup']",102.35,,,,levenshtein cluster 289,"['jp', 'pride', 'dubai', 'flir', 'vibes', 'cairo', 'marry', 'wald', 'öbb', 'kids', 'mate', 'dxb', 'vote', 'bar', 'like', 'tee', 'usa', 'uk', 'krk', 'blue', 'brrrt']",37.05,,,
community cluster 290,"['mut', 'summer2021', 'reiseblogger', 'winelover', 'summervibes', 'inspiration', 'blogger', 'diesteirerin', 'interview', 'igerslinz', 'networking', 'gewinnspiel', 'happyweekend', 'blogger_at', 'podcast', 'startup']",115.19999999999999,,,,levenshtein cluster 290,"['milk', 'nebel', 'cairo', 'giza', 'cool', 'corgi', 'grow', 'chef', 'gala', 'atp', 'alcohol', 'boss', 'chili', 'news', 'em', 'girls', 'vacay', 'pasta', 'ship', 'veli', 'chipsy']",37.05,,,
community cluster 291,"['nachhaltigkeit', 'internationalerfrauentag', 'feminism', 'equality', 'gastronomie', 'stadtgraz', 'zerowaste', 'feminismus', 'women', 'girlpower', 'igersaustria', 'lockdown', 'strongwomen', 'summer2021', 'frühstückingraz', 'summervibes', 'internationalwomensday', 'gründerin', 'bosslady', 'womenempowerment']",96.0,,,,levenshtein cluster 291,"['minze', 'bye', 'shoot', 'lend', 'grow', 'mare', 'vote', 'proud', 'lgbt', 'video', 'wood', 'cider', 'like', 'deko', 'mode', 'eis', 'dose', 'vino', 'town', 'meow', 'pure']",41.8,,,
community cluster 292,"['zerowaste', 'nachhaltigkeit', 'gastronomie', 'podcasting', 'blogger', 'inspiration', 'interview', 'igerswien', 'igergraz', 'gründerin', 'karriere', 'happyweekend', 'lockdown', 'bosslady', 'podcast']",81.25,,,,levenshtein cluster 292,"['vibe', 'lend', 'bmw', 'chef', 'mare', 'matetea', 'mate', 'dog', 'vote', 'tarte', 'water', 'matcha', 'tee', 'merch', 'milch', 'wow', 'bay', 'green', 'krk', 'nacht', 'meow']",45.599999999999994,,,
community cluster 293,"['nachhaltigkeit', 'blogger', 'internationalerfrauentag', 'feminism', 'equality', 'gastronomie', 'igerswien', 'igergraz', 'strongertogether', 'zerowaste', 'feminismus', 'women', 'igersaustria', 'girlpower', 'frauentag', 'lockdown', 'womeninbusiness', 'strongwomen', 'internationalwomensday']",76.65,,,,levenshtein cluster 293,"['zeit', 'kino', 'little', 'hitze', 'milk', 'uae', 'game', 'flir', 'girl', 'giza', 'danke', 'rose', 'bier', 'see', 'like', 'tee', 'pop', 'uk', 'blue']",36.75,,,
community cluster 294,"['wednesday', 'reiseblogger', 'winelover', 'women', 'igersaustria', 'girlpower', 'blogger', 'diesteirerin', 'internationalwomensday', 'fairtrade', 'igerslinz', 'gewinnspiel', 'igergraz', 'blogger_at', 'womenempowerment']",72.5,,,,levenshtein cluster 294,"['jp', 'nebel', 'hello', 'bf', 'feuer', 'öbb', 'jeans', 'beats', 'meat', 'dxb', 'atp', 'health', 'tee', 'lake', 'deko', 'usa', 'news', 'uk', 'blue', 'town', 'veli']",32.3,,,
community cluster 295,"['company', 'startupfounder', 'insiderockets', 'graz', 'startupscenegraz', 'corgi', 'growth', 'companyculture', 'onlineacademy', 'blacklivesmatter', 'keynotespeaker', 'igersgraz', 'employee', 'startup', 'feminds', 'rain', 'femaleempowerment', 'startups', 'femalefounders']",110.25,,,,levenshtein cluster 295,"['tester', 'jan', 'memes', 'kids', 'herz', 'wine', 'nike', 'bier', 'tee', 'deko', 'news', 'mode', 'eis', 'dose', 'job', 'torte', 'taste', 'reels', 'pure']",48.300000000000004,,,
community cluster 296,"['nachhaltigkeit', 'winelover', 'interview', 'lebensmittelretten', 'gastronomie', 'stadtgraz', 'networking', 'happyweekend', 'igergraz', 'blogger_at', 'women', 'igersaustria', 'girlpower', 'frauentag', 'mut', 'womeninbusiness', 'strongwomen', 'frühstückingraz', 'reiseblogger', 'inspiration']",87.0,,,,levenshtein cluster 296,"['kerzen', 'cool', 'danke', 'garten', 'lemon', 'berlin', 'foto', 'black', 'lake', 'kärnten', 'mode', 'dose', 'job', 'backen', 'blog', 'kuchen', 'torte', 'beeren', 'blumen', 'blacktea', 'lernen']",46.55,,,
community cluster 297,"['womeninbusiness', 'strongwomen', 'feminismus', 'girlpower', 'inspiration', 'internationalwomensday', 'feminism', 'internationalerfrauentag', 'stadtgraz', 'frauentag', 'lockdown', 'womenempowerment', 'equality']",63.45,,,,levenshtein cluster 297,"['zeit', 'dec', 'cats', 'lend', 'bmw', 'trees', 'herz', 'nike', 'see', 'park', 'fruit', 'meat', 'red', 'usa', 'news', 'pasta', 'split', 'wow', 'town', 'veli', 'meow']",40.85,,,
community cluster 298,"['france', 'streetstyle', 'womensday', 'foodlover', 'grazerblogger', 'health', 'internationalwomensday', 'healthylifestyle', 'photography', 'internationalerfrauentag', 'graz', 'austria', 'veganbreakfast', 'womenempowerment', 'kooperation', 'equality']",162.0,,,,levenshtein cluster 298,"['icecream', 'icedtea']",11.399999999999999,,,
community cluster 299,"['flowers', 'tulips', 'fromwhereistand', 'italia', 'women', 'girlpower', 'summervibes', 'outfit', 'businesswoman', 'holidays', 'italy', 'ootd', 'summer', 'vacation', 'flowerbouquet']",140.0,,,,levenshtein cluster 299,"['game', 'vibes', 'memes', 'women', 'jeans', 'trees', 'kids', 'mare', 'mate', 'lemon', 'see', 'meat', 'süßes', 'pumps', 'moments', 'merch', 'girls', 'eis', 'reels', 'meow']",46.0,,,
community cluster 300,"['zerowaste', 'mut', 'lebensmittelretten', 'nachhaltigkeit', 'frühstückingraz', 'podcasting', 'gastronomie', 'inspiration', 'interview', 'stadtgraz', 'fairtrade', 'gründerin', 'gewinnspiel', 'happyweekend']",87.10000000000001,,,,levenshtein cluster 300,"['dec', 'hello', 'kerzen', 'marry', 'herz', 'mate', 'japan', 'tarte', 'deko', 'em', 'merch', 'vacay', 'eis', 'hanf', 'bay', 'vocals', 'hvar', 'horse', 'nacht', 'meow']",42.0,,,
community cluster 301,"['mut', 'winelover', 'blogger', 'inspiration', 'diesteirerin', 'interview', 'igergraz', 'fairtrade', 'igerslinz', 'stadtgraz', 'happyweekend', 'gewinnspiel', 'lockdown', 'blogger_at']",85.8,,,,levenshtein cluster 301,"['sports', 'gastro', 'mare', 'rost', 'mate', 'park', 'soon', 'prost', 'photo', 'shots', 'tarte', 'sonne', 'spicy', 'easter', 'pasta', 'plants', 'pop', 'torte', 'sport', 'pure']",47.0,,,
community cluster 302,"['winelover', 'vegetarisch', 'blogger', 'chocolatecake', 'interview', 'kuchen', 'lavendel', 'gewinnspiel', 'italianfood', 'konditorei', 'backenmachtglücklich', 'schokolade', 'happyweekend', 'blogger_at', 'brot', 'veggiefood', 'frühstückingraz', 'reiseblogger', 'inspiration', 'gründerin']",77.0,,,,levenshtein cluster 302,"['sports', 'cats', 'shoot', 'girl', 'cool', 'corgi', 'grow', 'chef', 'rost', 'rose', 'chai', 'chill', 'moda', 'spicy', 'collab', 'split', 'pop', 'cover', 'ship', 'town', 'meow']",39.9,,,
community cluster 303,"['brot', 'frühstückingraz', 'vegetarisch', 'veggiefood', 'kuchenliebe', 'gebäck', 'bowl', 'grazerblogger', 'einbisschenspaßmusssein', 'yummy', 'brotbacken', 'sommer', 'veganlifestyle', 'lavendel', 'gewinnspiel', 'polenta', 'italianfood']",80.5,,,,levenshtein cluster 303,"['jan', 'bye', 'women', 'herz', 'chef', 'mare', 'wine', 'nike', 'mate', 'video', 'cider', 'mode', 'eis', 'dose', 'hanf', 'mango', 'backen', 'kuchen', 'singen']",45.15,,,
community cluster 304,"['instagood', 'blogger', 'insta', 'sunshine', 'steiermark', 'lifestyle', 'igergraz', 'photo', 'shots', 'art', 'happyday', 'beauty', 'nature', 'lockdown', 'visitaustria', 'weekend', 'natur', 'ootd', 'love']",158.55,,,,levenshtein cluster 304,"['klarheit', 'mahlzeit', 'auszeit', 'wahrheit']",18.0,,,
community cluster 305,"['popup', 'friends', 'igerslinz', 'shoesofinstagram', 'newshoes', 'shoestar', 'shoetingstar', 'comfortable', 'igersgraz', 'mum', 'support', 'coolshoes', 'igersaustria', 'happy', 'diesteirerin', 'popupstores', 'awesome', 'shoppingtour', 'firsttime', 'popupstore', 'highheels']",82.64999999999999,,,,levenshtein cluster 305,"['pride', 'cats', 'Repost', 'dell', 'insta', 'rost', 'rose', 'see', 'soon', 'prost', 'dog', 'vote', 'proud', 'moda', 'great', 'pop', 'torte', 'cover', 'sport']",47.25,,,
community cluster 306,"['hunger', 'essenmachtglücklich', 'dessert', 'mahlzeit', 'melanzani', 'vegetarisch', 'veggiefood', 'grazerblogger', 'aubergine', 'garten', 'tomaten', 'food', 'graz', 'kuchen', 'nachspeise', 'igersgraz', 'kürbis', 'polenta']",127.60000000000001,,,,levenshtein cluster 306,"['minze', 'milk', 'uae', 'game', 'luxury', 'rost', 'mylove', 'see', 'soon', 'future', 'meat', 'red', 'boss', 'lake', 'mode', 'pop', 'curry', 'cover', 'blue', 'town', 'pure']",36.1,,,
community cluster 307,"['dessert', 'foodphotography', 'pizza', 'food', 'kuchen', 'healthyfood', 'veganlife', 'veganfood', 'igersgraz', 'hunger', 'zuckerfrei', 'nachspeise', 'tomaten', 'veganlifestyle', 'mahlzeit', 'gesund', 'grazerblogger', 'breakfast', 'aubergine']",105.0,,,,levenshtein cluster 307,"['ligt', 'jp', 'uae', 'flir', 'bf', 'giza', 'öbb', 'newin', 'bier', 'see', 'dusk', 'meat', 'dxb', 'red', 'usa', 'eis', 'hanf', 'uk', 'veli', 'newdrink']",31.0,,,
