username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
cluster 118,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#grazerblogger', '#grazblogger', '#travelblogger', '#]']"
cluster 119,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#kochenmitliebe', '#backenistliebe', '#backenmitliebe', '#]']"
cluster 120,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#entspannen', '#entspannung', '#]']"
cluster 121,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#amazing', '#ameizing', '#]']"
cluster 122,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#salzburg', '#amberg', '#ffkumberg', '#kumberg', '#hamburg', '#]']"
cluster 123,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bridge', '#pride', '#]']"
cluster 124,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cgartist', '#artist', '#]']"
cluster 125,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#colours', '#clouds', '#]']"
cluster 126,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#salami', '#safari', '#]']"
cluster 127,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#detox', '#deko', '#]']"
cluster 128,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#foodstagram', '#bookstagram', '#]']"
cluster 129,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bewusstessen', '#bewusstsein', '#bewusstheit', '#]']"
cluster 130,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#gründer', '#gründerin', '#]']"
cluster 131,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#feminism', '#feminismus', '#]']"
cluster 132,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#fruchtig', '#frucht', '#]']"
cluster 133,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#lendplatz', '#sandplatz', '#]']"
cluster 134,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#discoverunder5k', '#discoverunder10k', '#]']"
cluster 135,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#tellers', '#tflers', '#flowers', '#]']"
cluster 136,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#wermut', '#wermouth', '#]']"
cluster 137,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#winelife', '#wildlife', '#citylife', '#]']"
cluster 138,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#longhair', '#blondhair', '#]']"
cluster 139,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#pumps', '#sumpf', '#]']"
cluster 140,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cinema', '#cinema4d', '#]']"
cluster 141,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#lovewhatwedo', '#welovewhatwedo', '#]']"
cluster 142,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#tagung', '#laguna', '#]']"
cluster 143,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#formulae', '#formulaone', '#]']"
cluster 144,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#uaelife', '#unilife', '#]']"
cluster 145,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#dubai', '#mydubai', '#]']"
cluster 146,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#abbau', '#aufbau', '#]']"
cluster 147,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#motiondesigner', '#motiondesign', '#3dmotiondesign', '#]']"
cluster 148,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#rendering', '#3drendering', '#]']"
