username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
999,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#drxzzylegit', '#WakandaForever', '#Technosupport', '#antijumpist']"
DareHardy09,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#EndSarsNow', '#ayrastarr', '#mufc', '#mulive', '#EndSARS', '#NewsNight', '#CTVTweets', '#RockHall2021', '#THFC', '#PDPReconciliation', '#TheVoiceOfOurFathers', '#Naijablogger', '#CCTV', '#Remi', '#GetInvolved', '#MCFC', '#Unconfirmed', '#200', '#50', '#100', '#lagosprice', '#NewProfilePic', '#EURO2020', '#BBNaijaReunion', '#MUFC', '#MCIARS', '#OleOut', '#Ronaldo', '#KabulAiport', '#Taliban', '#Kabul', '#US', '#Afghan']"
kayjii89,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#معلومات_ملكه', '#لكسر_الملل', '#العيد_الوطني_الكويتي', '#قول_شي', '#Formula1', '#FormulaOne', '#يوم_الجمعة', '#اكيد_مو_اني', '#تفشلون', '#جريدة_الوطن', '#الوتر', '#البحرين', '#لو_المقصود_يقرا_وش_بتكتب', '#حوار_بحرينيه', '#حوار_بحرينية', '#ماشاءالله', '#طلبات', '#fleet', '#نبي_التلفونات_بمدارس_البحرين', '#اشياء_تحسن_مزاجك']"
land2312,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.26%, Cluster: community cluster 526","['#deslimstemens', '#slechtverliezer', '#vaccin', '#eindexamen', '#onlinelessen', '#irmasluis', '#lockdown', '#avondklok', '#coronamaatregelen', '#avondkokkerellen', '#historischmoment', '#sneeuwpret', '#pandemie', '#Carnaval', '#festivals', '#winkelen', '#sporten', '#verkiezingen2021', '#wateendwaasidee', '#prikstraten', '#persconferentie', '#eventothier', '#paardenconcoursen', '#rhinovirus', '#action', '#10minuten', '#goedvoorbereiden', '#corona', '#jehovagetuige', '#hetmoetnietgekkerworden', '#verkiezingen', '#coronavirus', '#thuiswerken', '#nlmv', '#potlood', '#verkiezingsuitslag', '#tvpersoonlijkheid', '#markt', '#risicogroep', '#oliveopijnacker', '#turnen', '#prietpraat', '#wtf', '#olympischesporters', '#compleetgestoordinditland', '#feest', '#jubileum', '#overdrijven', '#AH', '#sprinkhaan', '#jansenvaccin', '#testen', '#TestenvoorToegang', '#file', '#A4', '#nualgenoegvan', '#diplomauitreiking', '#hadjealgemoeten', '#poldertocht', '#BBQ', '#marshmallows', '#kampvuur', '#theorieexamen', '#gezakt', '#slot']"
Lord,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.56%, Cluster: community cluster 502","['#NewProfilePic2021', '#premiere', '#interview', '#NicholasFlamel', '#Iseedeadpeople', '#book', '#movies', '#digimon', '#fuckbatman', '#TicTok', '#KamenRider', '#tokusatsu']"
ellolovely31,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
CecilySilver,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#privateinvestigator', '#privateinvestigations', '#surveillance', '#ChiefsKingdom', '#chiefs', '#NewProfilePic', '#TIAABank', '#Sweepstakes', '#InvestInIPOs', '#ChimeSignSweeps', '#CRYPTO', '#bitcoin', '#Bitcoin', '#WinningWednesday', '#ThrowbackThursday', '#Ford', '#Mustang', '#SVT_Cobra']"
Alberto06674849,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
hizzyimani,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
ShehinImran9,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"4.76%, Cluster: community cluster 219","['#SelfcareSunday', '#Doha', '#QatarLife', '#NewProfilePic', '#sunday']"
