community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 107,"['sunflower', 'happiness', 'smile', 'sunday', 'beach', 'happyweekend', 'croatia', 'igersaustria']",56.0,-0.1737704918032786
community cluster 108,"['home', 'happygirl', 'weekendmood', 'friday', 'tbt', 'sunset', 'croatia', 'springvibes']",45.0,-0.34693877551020413
community cluster 109,"['sunshine', 'autumn', 'photography', 'weekendvibes', 'mindset', 'croatia', 'rooftopparty', 'weekend']",60.0,-0.2683615819209039
community cluster 110,"['photooftheday', 'home', 'happiness', 'sunday', 'beach', 'happyweekend', 'igers', 'igersaustria']",61.0,-0.13924050632911406
community cluster 111,"['weekendmood', 'oldtown', 'friday', 'beach', 'sunset', 'weekendvibes', 'rooftopparty', 'weekend']",47.0,-0.05000000000000003
community cluster 112,"['sunshine', 'flowers', 'happiness', 'beach', 'sun', 'mindset', 'autumn']",55.125,-0.075
community cluster 113,"['photooftheday', 'home', 'happiness', 'friday', 'happyme', 'sundayfunday', 'igers', 'igersaustria']",57.0,-0.08108108108108113
community cluster 114,"['happiness', 'tbt', 'sunset', 'happysunday', 'weekendvibes', 'sunnydays', 'rooftopparty', 'weekend']",51.0,-0.11666666666666667
community cluster 115,"['sunshine', 'sunflower', 'flowers', 'happiness', 'oldtown', 'photography', 'happyweekend', 'autumn']",55.0,-0.21515151515151507
community cluster 116,"['sunflower', 'smile', 'happygirl', 'springvibes', 'friday', 'happyweekend', 'igersaustria', 'weekend']",51.0,-0.18709677419354842
community cluster 117,"['photooftheday', 'weekendmood', 'sunday', 'instagood', 'sunset', 'weekendvibes', 'happyweekend', 'weekend']",67.0,-0.17073170731707318
community cluster 118,"['flowers', 'sunday', 'mondaymotivation', 'sun', 'sundayfunday', 'happyweekend']",51.25,-0.3977591036414565
community cluster 119,"['photooftheday', 'sunday', 'weekendmood', 'friday', 'instagood', 'happyme', 'instadaily', 'igersaustria']",63.0,-0.10526315789473695
community cluster 120,"['sunshine', 'sunday', 'photography', 'sunset', 'happysunday', 'weekendvibes', 'sundayfunday', 'weekend']",64.0,-0.20061728395061726
community cluster 121,"['photooftheday', 'weekendmood', 'photography', 'friday', 'happyme', 'sundayfunday', 'igersaustria', 'weekend']",72.0,-0.0555555555555557
community cluster 122,"['photooftheday', 'smile', 'sunset', 'happysunday', 'weekendvibes', 'instadaily', 'igers', 'weekend']",52.0,-0.16049382716049387
community cluster 123,"['photooftheday', 'sunshine', 'flowers', 'photography', 'mondaymotivation', 'instadaily', 'autumn']",58.5,-0.14285714285714296
community cluster 124,"['smile', 'instagood', 'happysunday', 'weekendvibes', 'instadaily', 'igers', 'igersaustria', 'weekend']",59.0,-0.4561403508771929
community cluster 125,"['smile', 'happygirl', 'springvibes', 'instagood', 'sunset', 'happysunday', 'igers', 'igersaustria']",50.0,-0.42592592592592593
community cluster 126,"['sunshine', 'flowers', 'smile', 'photography', 'weekendvibes', 'igers', 'weekend']",67.5,-0.22916666666666663
community cluster 127,"['sunshine', 'flowers', 'oldtown', 'photography', 'instagood', 'sunset', 'happysunday', 'igers']",60.0,-0.22916666666666663
community cluster 128,"['weekendmood', 'friday', 'sun', 'igers', 'tbt', 'weekendvibes', 'sunnydays', 'weekend']",53.0,-0.05000000000000003
community cluster 129,"['home', 'happygirl', 'weekendmood', 'springvibes', 'friday', 'instagood', 'happyme', 'igersaustria']",54.0,-0.4482758620689656
community cluster 130,"['igersaustria', 'photography', 'tbt', 'sunset', 'happysunday', 'weekendvibes', 'rooftopparty', 'weekend']",71.0,-0.25974025974025977
community cluster 131,"['sunshine', 'flowers', 'home', 'igersaustria', 'homeoffice', 'mindset', 'autumn']",56.25,-0.17777777777777773
community cluster 132,"['home', 'flowers', 'happygirl', 'friday', 'photography', 'tbt', 'rooftopparty', 'weekend']",62.0,-0.34693877551020413
community cluster 133,"['sunshine', 'flowers', 'happygirl', 'weekendmood', 'friday', 'photography', 'springvibes', 'weekend']",62.0,-0.2683615819209039
community cluster 134,"['weekendmood', 'photography', 'friday', 'mondaymotivation', 'tbt', 'weekendvibes', 'happyme', 'weekend']",62.0,-0.12307692307692321
community cluster 135,"['weekendmood', 'photography', 'instagood', 'mondaymotivation', 'weekendvibes', 'happyme', 'weekend']",67.5,-0.06043956043956043
community cluster 136,"['sunshine', 'flowers', 'photography', 'tbt', 'sunset', 'happyme', 'mindset']",65.25,-0.17777777777777773
community cluster 137,"['sunshine', 'flowers', 'springvibes', 'instagood', 'happysunday', 'rooftopparty', 'weekend']",54.0,-0.2884615384615384
community cluster 138,"['oldtown', 'photography', 'instagood', 'sunset', 'happysunday', 'rooftopparty', 'autumn']",50.625,-0.12462006079027357
community cluster 139,"['autumn', 'flowers', 'oldtown', 'photography', 'mondaymotivation', 'sun', 'mindset', 'rooftopparty']",53.0,-0.29824561403508765
community cluster 140,"['flowers', 'photography', 'mondaymotivation', 'happysunday', 'weekendvibes', 'weekend']",67.5,-0.3977591036414565
community cluster 141,"['sunshine', 'flowers', 'photography', 'homeoffice', 'mondaymotivation', 'weekendvibes', 'mindset', 'autumn']",56.0,-0.31481481481481477
community cluster 142,"['flowers', 'homeoffice', 'mondaymotivation', 'sun', 'mindset', 'autumn']",46.25,-0.31746031746031744
