community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 3178,"['interiordesign', 'designlover', 'atnight', 'happyhalloween', 'designerwear', 'industrialdesign', 'designinterior', 'architecturedesign']",12.0,-0.06578947368421062
community cluster 3179,"['noshoestoday', 'designboom', 'shoebrand', 'designers', 'brandnewshoes', 'designmilk', 'happyhalloween', 'dezeen']",10.0,-0.15999999999999995
community cluster 3180,"['cinderella', 'influencer', 'happyhalloween', 'cinderellastory', 'first', 'famous', 'fairytale', 'perfectfit']",11.0,-0.06557377049180325
community cluster 3181,"['fitting', 'heelerella', 'story', 'happyhalloween', 'halloween2020', 'shoediary', 'storyteller', 'comic']",13.0,-0.3939393939393939
community cluster 3182,"['yellowheels', 'happyhalloween2020', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3183,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'bestcostume', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3184,"['yellowheels', 'firstprize', 'halloween2020', 'bestcostumeever', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.23636363636363633
community cluster 3185,"['yellowheels', 'firstprize', 'batcostume', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3186,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'nomore', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.20754716981132074
community cluster 3187,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'footpain', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3188,"['yellowheels', 'footpainrelief', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3189,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'footpainsucks', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3190,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'newshoesdaily', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3191,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'shoesdaily', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3192,"['yellowheels', 'firstprize', 'shoesshoesshoes', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.23636363636363633
community cluster 3193,"['yellowheels', 'firstprize', 'shoesstyle', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3194,"['yellowheels', 'motherhood', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3195,"['yellowheels', 'mother', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.19230769230769235
community cluster 3196,"['yellowheels', 'motherhoodunplugged', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.3
community cluster 3197,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'motherandbaby', 'redheels', 'yellowshoes']",18.0,-0.26315789473684204
community cluster 3198,"['yellowheels', 'maria', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.23636363636363633
community cluster 3199,"['yellowheels', 'firstprize', 'halloween2020', 'child', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.20754716981132074
community cluster 3200,"['yellowheels', 'bondingtime', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.23636363636363633
community cluster 3201,"['yellowheels', 'bondingmoment', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3202,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'bondingmoments', 'yellowshoes']",18.0,-0.25
community cluster 3203,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'heavenly', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.19230769230769235
community cluster 3204,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'fashionphotography', 'redhighheels', 'redheels', 'yellowshoes']",20.0,-0.3
community cluster 3205,"['yellowheels', 'summertime', 'österreich', 'paradise', 'halloween2020', 'shoesonfire', 'photoshooting', 'yellowshoes']",37.0,-0.34374999999999994
community cluster 3206,"['shooting', 'austrianblogger', 'summervibes', 'paradise', 'firstprize', 'redhighheels', 'stadtgraz', 'redheels']",48.0,-0.24731182795698925
community cluster 3207,"['yellowheels', 'shoesfromheaven', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.23636363636363633
community cluster 3208,"['firstfashionista', 'yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.1011235955056179
community cluster 3209,"['yellowheels', 'firstfashioninfluencer', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.34374999999999994
community cluster 3210,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'shoefashionista', 'redheels', 'yellowshoes']",18.0,-0.26315789473684204
community cluster 3211,"['yellowheels', 'shoedazzlegirl', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3212,"['yellowheels', 'statementpiece', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3213,"['yellowheels', 'shoesofthefuture', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.26315789473684204
community cluster 3214,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'shoes2021', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3215,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'igersheaven', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3216,"['yellowheels', 'goddess', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.19230769230769235
community cluster 3217,"['yellowheels', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'pandemic', 'redheels', 'yellowshoes']",18.0,-0.22222222222222224
community cluster 3218,"['yellowheels', 'halloween2020', 'shoesonfire', 'redhighheels', 'spreadtheword', 'austria', 'redheels', 'yellowshoes']",17.0,-0.23636363636363633
community cluster 3219,"['new', 'museumsquartier', 'firstprize', 'vienna', 'together', 'share', 'Museen', 'austria']",28.0,-0.3836477987421383
community cluster 3220,"['yellowheels', 'museumsquartier', 'halloween2020', 'vienna', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",30.0,-0.26315789473684204
community cluster 3221,"['yellowheels', 'vienna', 'shoesonfire', 'redhighheels', 'Museen', 'spreadtheword', 'redheels', 'yellowshoes']",28.0,-0.23636363636363633
community cluster 3222,"['yellowheels', 'Pandemie', 'halloween2020', 'shoesonfire', 'Museen', 'redhighheels', 'redheels', 'yellowshoes']",17.0,-0.19230769230769235
community cluster 3223,"['yellowheels', 'Pandemie', 'österreich', 'firstprize', 'redhighheels', 'redheels', 'yellowshoes']",24.75,-0.2
community cluster 3224,"['shooting', 'österreich', 'austrianblogger', 'halloween2020', 'shoesonfire', 'redhighheels', 'photoshooting', 'redheels']",38.0,-0.23497267759562832
community cluster 3225,"['österreich', 'firstprize', 'bittersweet', 'mumokwien', 'mumokmuseum', 'stadtgraz', 'mumok', 'leopoldmuseum']",22.0,-0.21641791044776118
community cluster 3226,"['yellowheels', 'bittersweet', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'leopoldmuseum', 'yellowshoes']",17.0,-0.20754716981132074
community cluster 3227,"['yellowheels', 'mumokwien', 'shoesonfire', 'redhighheels', 'redheels', 'leopoldmuseum', 'yellowshoes']",14.625,-0.1818181818181818
community cluster 3228,"['yellowheels', 'halloween2020', 'mumokwien', 'shoesonfire', 'redhighheels', 'mumok', 'redheels', 'yellowshoes']",17.0,-0.19230769230769235
community cluster 3229,"['yellowheels', 'architekturzentrumwien', 'mumokmuseum', 'redhighheels', 'mumok', 'redheels']",12.5,-0.4117647058823529
community cluster 3230,"['architekturzentrumwien', 'halloween2020', 'shoesonfire', 'mumokmuseum', 'redheels', 'yellowshoes']",15.0,-0.0552995391705069
community cluster 3231,"['lockdown', 'wien', 'architekturzentrumwien', 'lockdown2020', 'firstprize', 'redhighheels', 'shooting']",36.0,-0.2736077481840194
community cluster 3232,"['yellowheels', 'lockdown', 'lockdown2020', 'halloween2020', 'shoesonfire', 'redheels', 'yellowshoes']",24.75,-0.2173913043478261
community cluster 3233,"['yellowheels', 'lockdown', 'firstprize', 'share', 'spreadtheword', 'photoshooting', 'redheels', 'yellowshoes']",27.0,-0.3
community cluster 3234,"['yellowheels', 'theshowmustgoon', 'firstprize', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",18.0,-0.25
community cluster 3235,"['yellowheels', 'wien', 'igersvienna', 'halloween2020', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",32.0,-0.19230769230769235
community cluster 3236,"['firstprize', 'igersvienna', 'staypositive', 'reboot2020', 'share', 'spreadtheword', 'dashoes', 'announcement']",18.0,-0.19402985074626863
community cluster 3237,"['yellowheels', 'halloween2020', 'reboot2020', 'shoesonfire', 'redhighheels', 'announcement', 'redheels', 'yellowshoes']",17.0,-0.19230769230769235
community cluster 3238,"['yellowheels', 'shoesonfire', 'redhighheels', 'announcement', 'dashoes', 'redheels', 'yellowshoes']",14.625,-0.16279069767441864
community cluster 3239,"['yellowheels', 'halloween2020', 'staypositive', 'shoesonfire', 'redhighheels', 'dashoes', 'redheels', 'yellowshoes']",17.0,-0.19230769230769235
community cluster 3240,"['yellowheels', 'firstprize', 'staypositive', 'redhighheels', 'shoes4life', 'redheels']",13.75,-0.31818181818181823
community cluster 3241,"['yellowheels', 'halloween2020', 'shoesonfire', 'handmade', 'shoes4life', 'yellowshoes']",20.0,-0.3023255813953488
community cluster 3242,"['exploretheworld', 'shoesoftheyear', 'firstprize', 'redhighheels', 'handmade', 'redheels']",17.5,-0.0819672131147541
community cluster 3243,"['yellowheels', 'exploretheworld', 'shoesoftheyear', 'halloween2020', 'shoesonfire', 'yellowshoes']",18.75,-0.28571428571428575
community cluster 3244,"['yellowheels', 'highheelsfetish', 'shoesoftheyear', 'firstprize', 'redhighheels', 'redheels']",13.75,-0.31818181818181823
community cluster 3245,"['yellowheels', 'highheelsfetish', 'halloween2020', 'highheellover', 'shoesonfire', 'yellowshoes']",16.25,-0.3333333333333333
community cluster 3246,"['igerseurope', 'firstprize', 'highheellover', 'redhighheels', 'happyme', 'redheels']",17.5,-0.04444444444444448
community cluster 3247,"['yellowheels', 'igerseurope', 'halloween2020', 'shoesonfire', 'happyme', 'yellowshoes']",22.5,-0.3023255813953488
community cluster 3248,"['yellowheels', 'summertime', 'explore', 'igerseurope', 'firstprize', 'summervibes', 'europe', 'redhighheels']",42.0,-0.3538461538461539
community cluster 3249,"['lifeisbeautiful', 'halloween2020', 'shoesonfire', 'europe', 'redhighheels', 'goodtimes', 'redheels', 'yellowshoes']",20.0,-0.16129032258064524
community cluster 3250,"['interiordesign', 'architecture', 'firstprize', 'statementoutfit', 'europe', 'fashionista', 'moda', 'statementshoes']",16.0,-0.1547619047619048
community cluster 3251,"['yellowheels', 'halloween2020', 'shoesonfire', 'fashionista', 'redhighheels', 'moda', 'redheels', 'yellowshoes']",20.0,-0.22222222222222224
community cluster 3252,"['yellowheels', 'statementshoes', 'shoesonfire', 'fashionista', 'redhighheels', 'redheels', 'yellowshoes']",16.875,-0.23404255319148934
community cluster 3253,"['yellowheels', 'statementshoes', 'halloween2020', 'statementoutfit', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",17.0,-0.2758620689655173
community cluster 3254,"['mummy', 'yellowheels', 'firstprize', 'statementoutfit', 'redhighheels', 'redheels']",13.75,-0.5370370370370371
community cluster 3255,"['mummy', 'yellowheels', 'halloween2020', 'toiletpaper', 'shoesonfire', 'yellowshoes']",16.25,-0.5614035087719298
community cluster 3256,"['worthamillion', 'worthafortune', 'firstprize', 'toiletpaper', 'redhighheels', 'redheels']",11.25,0.0701754385964913
community cluster 3257,"['yellowheels', 'worthamillion', 'worthafortune', 'halloween2020', 'shoesonfire', 'yellowshoes']",16.25,-0.3617021276595745
community cluster 3258,"['yellowheels', 'halloweencostume', 'worthafortune', 'firstprize', 'redhighheels', 'redheels']",13.75,-0.3333333333333333
community cluster 3259,"['yellowheels', 'halloweencostume', 'halloween', 'halloween2020', 'shoesonfire', 'yellowshoes']",18.75,-0.18918918918918923
community cluster 3260,"['halloween', 'firstprize', 'halloween2020', 'redlove', 'redhighheels', 'red', 'redheels']",18.0,-0.19130434782608696
community cluster 3261,"['expensivelifestyle', 'halloweencountdown', 'halloweencorona', 'expensive', 'halloween2020', 'costume', 'coronacostume', 'costumedesign']",11.0,-0.17313915857605178
community cluster 3262,"['mumie', 'halloweenkostüm', 'wedge', 'kostüm', 'halloween2020', 'expensivelifestyles', 'wedgesshoes', 'wedges']",11.0,-0.5
community cluster 3263,"['wedgesneakers', 'wedgesshoesheels', 'halloween2020', 'wedgeshoes', 'shoesonfire', 'wedgeheels', 'wedgessneakers', 'yellowshoes']",13.0,-0.2
community cluster 3264,"['yellowheels', 'yellowheel', 'heelsonfire', 'halloween2020', 'heels2020', 'yellowhighheels', 'newhighheels', 'highheels2020']",13.0,-0.10638297872340427
community cluster 3265,"['slowmo', 'slowmotion', 'splash', 'waterbomb', 'halloween2020', 'shoes2020', 'womenshoes', 'wasserbombe']",11.0,-0.19230769230769235
community cluster 3266,"['video', 'cooloff', 'mesmerizing', 'shoechallenge', 'halloween2020', 'challengeyourself', 'challengeaccepted', 'waterchallenge']",14.0,-0.5972222222222222
community cluster 3267,"['shoesoftheweek', 'digitalart', 'summertime', 'halloween2020', 'toohottohandle', 'meets', 'toohot', 'analogart']",18.0,-0.22891566265060248
community cluster 3268,"['photoshoot', 'halloween2020', 'studioninprantner', 'graz', 'photography', 'summeroutfit', 'photoshooting', 'hours']",35.0,-0.2063492063492063
community cluster 3269,"['shoeporn', 'streetwearfashion', 'ootd', 'shoegasm', 'halloween2020', 'ootdfashion', 'outfits', 'streetartphotography']",16.0,-0.29850746268656714
community cluster 3270,"['stars', 'outfitideas', 'star', 'styleblogger', 'outfitinspo', 'halloween2020', 'styleinspo', 'outfitpost']",12.0,-0.38596491228070173
community cluster 3271,"['shoesofinsta', 'moon', 'shoefielicious', 'shoefiequeen', 'halloween2020', 'coolshoe', 'shoefie', 'tbt']",17.0,-0.25
community cluster 3272,"['vatertag', 'shoestagrammer', 'shoefies', 'halloween2020', 'shoeaholic', 'shoestylist', 'details', 'fathersday']",12.0,-0.18965517241379315
community cluster 3273,"['vatertag2020', 'modainsta', 'mode', 'bedifferent', 'style', 'halloween2020', 'fashion', 'fathersday2020']",29.0,-0.13043478260869573
community cluster 3274,"['highheelslover', 'austrianblogger', 'halloween2020', 'highheel', 'highlights', 'highheelsaddiction', 'madeinitaly', 'designedinaustria']",17.0,-0.22432432432432436
community cluster 3275,"['instashoes', 'pumpshoe', 'weekendmood', 'halloween2020', 'pumps', 'designed', 'pumpshoes', 'highquality']",16.0,-0.11475409836065564
community cluster 3276,"['instagramshoes', 'stylingshoes', 'myshoestoday', 'stylereport', 'halloween2020', 'stylishshoes', 'shoefilicious', 'shoesforwomen']",11.0,-0.14133333333333334
community cluster 3277,"['goneswimming', 'fancyshoes', 'shoesofig', 'summervibes', 'halloween2020', 'shoefan', 'madeinitalyshoes', 'learntoswim']",29.0,-0.06578947368421062
community cluster 3278,"['fashiongram', 'luxuryshoes', 'fashionshoes', 'newin', 'sapatilhalovers', 'halloween2020', 'shoesday', 'sneakerhead']",13.0,-0.21538461538461545
community cluster 3279,"['sapatosfemininos', 'murinsel', 'halloween2020', 'trend', 'shoefreak', 'summer2020', 'watercooling', 'hothothot']",12.0,-0.0434782608695652
community cluster 3280,"['worldsfirst', 'popuplab', 'explore', 'experience', 'niedagewesen', 'halloween2020', 'walking', 'gefühl']",15.0,-0.04225352112676059
community cluster 3281,"['highheelsshoes', 'heelsaddict', 'heelslover', 'halloween2020', 'highheelsmurah', 'newstart', 'freshstart', 'heels']",11.0,-0.11470588235294114
community cluster 3282,"['accessories', 'highheelmadness', 'statement', 'fashionlover', 'fashionstatement', 'halloween2020', 'redshoes', 'streetfashion']",14.0,-0.20175438596491238
community cluster 3283,"['uniquewomen', 'signalcolor', 'uniquejewelry', 'roteschuhe', 'halloween2020', 'uniquewoman', 'rotehighheels', 'unique']",12.0,-0.0714285714285714
community cluster 3284,"['wien', 'halloween2020', 'style2020', 'goodtimes', 'styleinspo2020', 'chaos', 'newchallenge', 'newshoeintown']",25.0,-0.5601092896174862
community cluster 3285,"['lifeisbeautiful', 'newstyle', 'fashionstyle', 'newchapter', 'newstory', 'lifeischange', 'halloween2020', 'lifestyle']",18.0,-0.025000000000000067
community cluster 3286,"['fridaymood', 'fashioninspo', 'halloween2020', 'feetup', 'fridayfeet', 'dressup', 'fashionable', 'fridayfeeling']",14.0,-0.08064516129032269
community cluster 3287,"['idontgiveashit', 'halloween2020', 'footwearnews', 'instashoestyle', 'blonde', 'feetupfriday', 'shoesfashionista', 'damenschuhe']",11.0,-0.04705882352941174
community cluster 3288,"['winning', 'spreadlove', 'firstprize', 'halloween2020', 'win', 'spreadtheword', 'winwinwin', 'shooting']",27.0,-0.21515151515151507
community cluster 3289,"['teilenerwünscht', 'spreadpositivity', 'halloween2020', 'vote', 'together', 'share', 'vote2020', 'teilen']",17.0,-0.044444444444444425
community cluster 3290,"['2min2mio', 'shopping', 'halloween2020', 'dicoverunder5k', 'diesteirerin', 'latenight', 'latenightshopping', 'stadtgraz']",24.0,-0.29729729729729726
community cluster 3291,"['passage', 'shop', 'designshoes', 'zur', 'halloween2020', 'mut', 'größe', 'shoplocal']",15.0,-0.15094339622641503
community cluster 3292,"['things', 'new', 'innovative', 'project', 'halloween2020', 'designforlife', 'shoeshop', 'discover']",15.0,-0.33888888888888885
community cluster 3293,"['insight', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'halloween2020', 'shopdesigns', 'insights']",11.0,-0.13580246913580243
community cluster 3294,"['interiordesign', 'designlover', 'atnight', 'architecturelovers', 'architecturelover', 'architecture', 'design', 'halloween2020']",16.0,-0.18390804597701155
community cluster 3295,"['designboom', 'designers', 'halloween2020', 'designerwear', 'industrialdesign', 'dezeen', 'designinterior', 'architecturedesign']",11.0,-0.23076923076923078
community cluster 3296,"['noshoestoday', 'cinderella', 'shoebrand', 'brandnewshoes', 'designmilk', 'cinderellastory', 'halloween2020', 'first']",11.0,-0.12500000000000006
community cluster 3297,"['influencer', 'heelerella', 'halloween2020', 'shoediary', 'glass', 'famous', 'fairytale', 'perfectfit']",12.0,-0.061538461538461695
community cluster 3298,"['yellowheels', 'halloweencorona', 'firstprize', 'shoesonfire', 'coronacostume', 'redhighheels', 'redheels', 'yellowshoes']",15.0,-0.288135593220339
community cluster 3299,"['yellowheels', 'halloweencountdown', 'firstprize', 'coronacostume', 'redhighheels', 'redheels', 'yellowshoes']",14.625,-0.29411764705882354
community cluster 3300,"['yellowheels', 'halloweencountdown', 'firstprize', 'costume', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",15.0,-0.288135593220339
community cluster 3301,"['expensive', 'firstprize', 'costume', 'redhighheels', 'redheels', 'costumedesign']",11.25,-0.10984848484848496
community cluster 3302,"['yellowheels', 'expensive', 'shoesonfire', 'redhighheels', 'costumedesign', 'yellowshoes']",13.75,-0.28571428571428575
community cluster 3303,"['mumie', 'expensivelifestyle', 'halloweenkostüm', 'expensive', 'firstprize', 'kostüm', 'expensivelifestyles', 'wedges']",9.0,-0.5342465753424658
community cluster 3304,"['yellowheels', 'expensivelifestyle', 'expensivelifestyles', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",14.625,-0.3454545454545454
community cluster 3305,"['mumie', 'yellowheels', 'halloweenkostüm', 'expensivelifestyles', 'redhighheels', 'redheels']",12.5,-0.58128078817734
community cluster 3306,"['mumie', 'halloweenkostüm', 'kostüm', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",12.375,-0.47959183673469397
community cluster 3307,"['yellowheels', 'kostüm', 'redhighheels', 'redheels', 'wedges', 'yellowshoes']",13.75,-0.06250000000000006
community cluster 3308,"['yellowheels', 'shoesonfire', 'redhighheels', 'wedgesshoes', 'redheels', 'wedges', 'yellowshoes']",14.625,-0.12195121951219508
community cluster 3309,"['wedgesneakers', 'wedgesshoesheels', 'firstprize', 'wedge', 'wedgeshoes', 'wedgeheels', 'wedgessneakers', 'wedgesshoes']",9.0,-0.06976744186046516
community cluster 3310,"['yellowheels', 'wedge', 'wedgeshoes', 'shoesonfire', 'redhighheels', 'redheels', 'yellowshoes']",14.625,-0.12195121951219508
community cluster 3311,"['yellowheels', 'wedgeshoes', 'wedgeheels', 'redhighheels', 'wedgessneakers', 'redheels']",12.5,-0.09090909090909086
community cluster 3312,"['wedgesneakers', 'shoesonfire', 'wedgeheels', 'redhighheels', 'wedgessneakers', 'redheels', 'yellowshoes']",12.375,-0.20265780730897012
community cluster 3313,"['yellowheels', 'wedgesshoesheels', 'redhighheels', 'wedgesneakers', 'redheels', 'yellowshoes']",13.75,-0.06250000000000006
community cluster 3314,"['yellowheels', 'wedgesshoesheels', 'yellowheel', 'heelsonfire', 'shoesonfire', 'redhighheels', 'yellowhighheels', 'yellowshoes']",13.0,-0.023255813953488434
community cluster 3315,"['slowmo', 'slowmotion', 'shoes2020', 'womenshoes', 'shoesonfire', 'heels2020', 'newhighheels', 'highheels2020']",9.0,-0.3
community cluster 3316,"['video', 'splash', 'cooloff', 'mesmerizing', 'shoechallenge', 'waterbomb', 'shoesonfire', 'wasserbombe']",10.0,-0.42655367231638425
community cluster 3317,"['digitalart', 'toohottohandle', 'meets', 'shoesonfire', 'challengeyourself', 'challengeaccepted', 'toohot', 'waterchallenge']",11.0,-0.25609756097560976
community cluster 3318,"['shoesoftheweek', 'summertime', 'studioninprantner', 'graz', 'shoesonfire', 'photography', 'analogart', 'hours']",30.0,-0.21951219512195122
community cluster 3319,"['shoeporn', 'photoshoot', 'ootd', 'shoegasm', 'shoesonfire', 'ootdfashion', 'summeroutfit', 'photoshooting']",24.0,-0.06000000000000003
community cluster 3320,"['streetwearfashion', 'outfitideas', 'styleblogger', 'outfitinspo', 'shoesonfire', 'outfitpost', 'outfits', 'streetartphotography']",9.0,-0.07216494845360824
community cluster 3321,"['moon', 'stars', 'star', 'coolshoe', 'shoesonfire', 'shoefie', 'tbt', 'styleinspo']",16.0,-0.21428571428571427
community cluster 3322,"['shoesofinsta', 'shoefielicious', 'shoestagrammer', 'shoefiequeen', 'shoefies', 'shoeaholic', 'shoesonfire', 'shoestylist']",9.0,0.09433962264150945
community cluster 3323,"['vatertag2020', 'mode', 'vatertag', 'style', 'shoesonfire', 'details', 'fathersday2020', 'fathersday']",18.0,0.0
community cluster 3324,"['modainsta', 'bedifferent', 'austrianblogger', 'highlights', 'shoesonfire', 'madeinitaly', 'fashion', 'designedinaustria']",25.0,-0.1692307692307693
community cluster 3325,"['instashoes', 'highheelslover', 'weekendmood', 'highheel', 'highheelsaddiction', 'shoesonfire', 'designed', 'highquality']",13.0,-0.25000000000000006
community cluster 3326,"['instagramshoes', 'stylingshoes', 'pumpshoes', 'stylereport', 'shoesonfire', 'pumps', 'pumpshoe', 'shoefilicious']",10.0,-0.11780821917808228
community cluster 3327,"['myshoestoday', 'madeinitalyshoes', 'summervibes', 'stylishshoes', 'shoesonfire', 'learntoswim', 'shoesofig', 'shoesforwomen']",27.0,-0.07246376811594213
community cluster 3328,"['goneswimming', 'fashiongram', 'fashionshoes', 'fancyshoes', 'sneakerhead', 'shoesday', 'shoesonfire', 'shoefan']",10.0,-0.027397260273972674
community cluster 3329,"['sapatosfemininos', 'luxuryshoes', 'murinsel', 'newin', 'sapatilhalovers', 'trend', 'shoefreak', 'shoesonfire']",11.0,-0.011235955056179737
community cluster 3330,"['worldsfirst', 'popuplab', 'niedagewesen', 'summer2020', 'shoesonfire', 'gefühl', 'watercooling', 'hothothot']",9.0,-0.014492753623188534
community cluster 3331,"['highheelsshoes', 'explore', 'experience', 'heelsaddict', 'heelslover', 'walking', 'shoesonfire', 'heels']",13.0,-0.1973333333333333
community cluster 3332,"['highheelmadness', 'fashionlover', 'fashionstatement', 'highheelsmurah', 'shoesonfire', 'newstart', 'streetfashion', 'freshstart']",11.0,-0.17073170731707318
community cluster 3333,"['accessories', 'statement', 'redlove', 'redshoes', 'shoesonfire', 'redhighheels', 'red', 'redheels']",13.0,-0.021505376344086145
community cluster 3334,"['uniquewomen', 'signalcolor', 'uniquejewelry', 'roteschuhe', 'uniquewoman', 'shoesonfire', 'rotehighheels', 'unique']",10.0,-0.054545454545454466
community cluster 3335,"['wien', 'shoesonfire', 'style2020', 'goodtimes', 'styleinspo2020', 'chaos', 'newchallenge', 'newshoeintown']",23.0,-0.5527777777777777
community cluster 3336,"['lifeisbeautiful', 'newstyle', 'fashionstyle', 'newchapter', 'newstory', 'lifeischange', 'shoesonfire', 'lifestyle']",16.0,0.025000000000000067
community cluster 3337,"['fridaymood', 'fashioninspo', 'feetup', 'shoesonfire', 'fridayfeet', 'dressup', 'fashionable', 'fridayfeeling']",12.0,-0.05000000000000003
community cluster 3338,"['idontgiveashit', 'footwearnews', 'instashoestyle', 'shoesonfire', 'feetupfriday', 'blonde', 'shoesfashionista', 'damenschuhe']",9.0,-0.04705882352941174
community cluster 3339,"['winning', 'spreadlove', 'firstprize', 'shoesonfire', 'win', 'spreadtheword', 'winwinwin', 'shooting']",25.0,-0.18553459119496848
community cluster 3340,"['teilenerwünscht', 'spreadpositivity', 'vote', 'shoesonfire', 'together', 'share', 'vote2020', 'teilen']",15.0,-0.05494505494505489
community cluster 3341,"['2min2mio', 'shopping', 'dicoverunder5k', 'diesteirerin', 'shoesonfire', 'latenight', 'latenightshopping', 'stadtgraz']",22.0,-0.2876712328767123
community cluster 3342,"['passage', 'shop', 'designshoes', 'zur', 'mut', 'größe', 'shoesonfire', 'shoplocal']",13.0,-0.11764705882352937
community cluster 3343,"['things', 'new', 'innovative', 'project', 'shoesonfire', 'designforlife', 'shoeshop', 'discover']",13.0,-0.3040935672514619
community cluster 3344,"['insight', 'exclusive', 'shopdesign', 'shopdesigner', 'research', 'shopdesigns', 'shoesonfire', 'insights']",9.0,-0.08496732026143786
community cluster 3345,"['interiordesign', 'designlover', 'atnight', 'architecture', 'architecturelover', 'design', 'architecturelovers', 'shoesonfire']",14.0,-0.16470588235294117
community cluster 3346,"['designboom', 'designers', 'designerwear', 'industrialdesign', 'shoesonfire', 'dezeen', 'designinterior', 'architecturedesign']",9.0,-0.1935483870967742
community cluster 3347,"['noshoestoday', 'cinderella', 'shoebrand', 'brandnewshoes', 'designmilk', 'cinderellastory', 'shoesonfire', 'first']",9.0,-0.08695652173913049
