cluster,centroid,used_hashtags
k mean cluster 99,healthyicetea,"['schöckltrailarea', 'healthylifestyle', 'marryicetea', 'healthykitchen', 'ohhoneyicetea', 'endlichwiederda', 'togetherisbetter', 'carryicetea', 'sparmeetsmarryicetea', 'grazericetea', 'berriedicetea', 'strategicretreat', 'redheadsdoitbetter']"
k mean cluster 100,satire,"['nature', 'safari', 'natur', 'spitalkirche', 'creative', 'desire', '19times', 'xmastime', 'teatime', 'bbqtime', 'spotify', 'imabird', 'ultimate', 'seminare', 'stärke', 'karriere', 'ask4more', 'patisserie', 'sugarfree', 'salatliebe', 'plasticfree', 'cutie', 'sushitime', 'sainttropez', 'onfire', 'mytime', 'patience', 'future', 'service', 'besttime', 'südafrika', 'safira', 'safiracode', 'stärker', 'stagetime', 'oltimer', 'seaside', 'snacktime', 'selfietime', 'datenkrake', 'sestrastore', 'patiserie', 'matetea', 'stadtpark', 'sellaskirt', 'fisalpine', 'catlife', 'sandwitch', 'sandsculpture', 'firsttime', 'statement', 'story', 'steirer', 'starre', 'tsambika', 'stairs', 'relaxtime', 'saftgibtkraft', 'latrappe', 'funtime']"
k mean cluster 101,korneliaurkorn,['kirschbaumkraxln']
k mean cluster 102,craneoperator,"['cannotbetamed', 'frauenempowerment', 'changetheratio', 'zahncremealternative', 'cellregeneration', 'tripleperform', 'schweizernatur', 'oneworldtradecenterobservatory', 'teamworkmakesthedreamwork']"
k mean cluster 103,crafting,"['croatia', 'clubbing', 'cgartist', 'craftcocktails', 'handcrafted', 'coaching', 'podcasting', 'ermutigung', 'crowdfunding', 'consulting', 'painting', 'paintings', 'bratina', 'christinen', 'carinthia', 'earrings', 'coworking', 'roasting', 'marketing', 'carlossantana', 'exciting', 'curtainbangs', 'moderating', 'carting', 'racing', 'charming', 'graduating', 'craftfreunde', 'rating', 'craftbeerpics', 'craftbeer', 'craftbier', 'christtag', 'greetings', 'craftdrinkers']"
k mean cluster 104,flüssigkeitszufuhr,['erfolgistkeinzufall']
k mean cluster 105,gesundedrinks,"['zielundvisionskurs', 'kindundbusiness', 'gesundundlecker', 'gesundersnack', 'glutenfreedrinks']"
k mean cluster 106,unique,"['update', 'urlaub', 'wunsche', 'universe', 'unispaß', 'uniquewomen', 'uniquewoman', 'sunfun']"
k mean cluster 107,wko,"['wow', 'grow', 'ikea', 'kos', 'deko', 'wodka', 'eco', 'Snow', 'wimhof', 'uk', 'uknow']"
k mean cluster 108,shoeshopping,"['onlineshopping', 'happyshopping', 'freeshipping', 'photoshooting', 'brooksrunning', 'zerowasteshopping', 'espressoorange', 'shoechallenge', 'latenightshopping']"
k mean cluster 109,guabao,"['dubai', 'oprnabay', 'trabajo', 'guarana', 'guzman', 'guzinos', 'guocuon', 'xiajiao', 'gutpurbach', 'jumbo', 'guayusa', 'global', 'sunbath', 'yucatan', 'getaway', 'tugraz', 'gambas', 'grado', 'gulasch']"
k mean cluster 110,wonderfultime,"['wonderfullife', 'powerfulwomen', 'wanderluster', 'arbeitenwoandereurlaubmachen', 'colorfullife', 'wonderfulplaces', 'onestepatatime', 'genderequality']"
k mean cluster 111,thewaitisover,"['teamantirosinen', 'mutigdiewelteroberm', 'thejacksonsontour']"
k mean cluster 112,dakommtwas,"['hardkombucha', 'farbloshatwas', 'dreamcometrue']"
k mean cluster 113,grazlovers,"['1yearanniversary', 'grazgoals', 'chailover', 'chailovers', 'sealovers', 'glazedcarrots', 'carlovers', 'catlovers', 'grazcoffee', 'grazfoodspots', 'brunchlovers', 'colorcolourlovers', 'tealovers', 'grazermamas', 'icecreamlovers', 'travellovers', 'artlovers']"
k mean cluster 114,europeanfootball,"['notoeuropeansuperleague', 'europeanleagueoffotball', 'europeanchampionship']"
k mean cluster 115,legatorguitars,"['angosturabitters', 'bladeguitars', 'bestguitarist', 'newopportunities', 'eventorganisers']"
k mean cluster 116,hm,"['tb', 'home', 'bf', 'dp', 'vw', 'bmw', 'hot', 'hob', 'hemp', '20', '200m', '100m', '60m', 'pham', 'DJ', 'LJ', 'gym', 'ti', 'bmx', '74', 'pr', 'hr', 'gg', 'bmw4', 'im70', 'dj', 'mom', 'hseq', 'mum', '3g', 'blm']"
k mean cluster 117,breakfastingraz,"['breakfastideas', 'breakfastgoals', 'breakfastinbed', 'breakfastphotography', 'herrengassegraz', 'nieohnemeingraz', 'mariobarthtattoosalongraz', 'freizeitingraz', 'freeafghanistanpeople']"
k mean cluster 118,AIPA,"['WAKEUPCALL', 'MIRUKfjL', 'GEWINNSPIEL', '25GRAMS', 'SPAR', 'IPA', 'AmericanIPA', 'VIENNA']"
k mean cluster 119,meizeit,"['ameizing', 'spritzwein', 'icezeit', 'weinweltat', 'mermaid', 'weisheit', 'freiheit', 'mehrwert', 'seiduselbst', 'reiselust', 'mehlspeise', 'mahlzeit', 'teigrezept', 'eiweiß', 'trinkmahlzeit', 'bergzeit', 'rezepte', 'reelitfeelit', 'magazzin', 'rezept', 'süssigkeiten', 'checkitout', 'neuheit', 'veniceitaly', 'bleibdaheim', 'musikerin', 'zeitzuzweit', 'schenkdirzeit', 'freizeit', 'ferienzeit', 'dolcevita', 'wedidit', 'hochzeit', 'Freiheit', 'herbstzeit']"
k mean cluster 120,hausberg,"['amberg', 'aufdenberg', 'eichberg', 'salzburg', 'hamburg', 'hausgemacht', 'Flugzeug', 'havehere', 'hautrein', 'hautpflege', 'meinhausbaugmbh', 'haushaltsgeräte', 'deutschlandsberg', 'ausflug', 'hofburg', 'stauballergie']"
k mean cluster 121,puzzle,"['cpucooler', 'zutzga', 'pizzateig', 'pizza', 'bundle', 'pizzarecipe', 'lipizzaner', 'quelle', 'wuzzeln', 'wuzeln', 'puglia', 'upcycle', 'dunkles']"
k mean cluster 122,motorsport,"['rooftopparty', 'monitorsetup', 'mentoringprogramm', 'kampfsport', 'motorcycle', 'interspar', 'musikalsbreitensport', 'lockstoffstore', 'proudtobepart', 'colorsplash', 'streetsport', 'stylereport', 'vogerlsalat', 'outdoorshoot', 'notoracism']"
k mean cluster 123,pyhrnpriel,"['burnhardgrills', 'lehrbetrieb']"
k mean cluster 124,sonnenuntergang,"['zumsonnenuntergang', 'winterwonderland', 'dontpanicitsorganic', 'stadtspaziergang', 'sonntagsspaziergang']"
k mean cluster 125,emporioarmani,"['empowerment', 'espressomartini', 'certifiedorganic', 'extraordinaryview']"
k mean cluster 126,europe,"['educate', 'heuvodka', 'alexrose', 'zefelipe', 'meulouca', 'bebrave', 'cherrypie', 'karaoke', 'grape', 'getränke', 'ourdoorsareopen', 'neuehomepage', 'murauer', 'keynote', 'neuewege', 'kuboapp', 'treueapp', 'bürotee', 'igerseurope', 'quadrupel']"
k mean cluster 127,blondesandcookies,['bakingcookies']
k mean cluster 128,tasty,"['happy', 'stadt', 'tlfa3000', 'party', 'teaparty', 'vacay', 'pasta', 'radatz', 'tacos', 'tarte', 'beauty', 'RunItFast', 'tesla', 'Party', 'tapeten', 'Taste', 'taste', 'test', 'teste', 'instastyle', 'classy', 'Barista', 'today', 'orsay', 'salty', 'namaste', 'bfast', 'tartu2018', 'loyalty', 'texte', 'feste', 'StarWarsDay', 'stpaulsbay', 'tavel', 'trappiste']"
k mean cluster 129,donau,"['dynamo', 'nikolaus', 'lowfat', 'local', 'monday', 'donkey', 'dontquit', 'Sonne', 'honey', 'donuts', 'tongue', 'coronamusic', 'doggo', 'doggy', 'iongroup', 'dough', 'songs', 'drones', 'noway', 'norway', 'denmark', 'mcdonalds', 'donate', 'altedonau', 'donaustadt', 'donauinsel', 'neuedonau', 'noname']"
k mean cluster 130,hobbybäcker,[]
k mean cluster 131,hustle,"['little', 'australia', 'austin', 'eistee', 'sustainable', 'muscle', 'yourstyle', 'shirtless', 'hitze', 'Reusable', 'couplestyle', 'hundesitten', 'nährstoffe', 'kuschlige', 'justletmefly', 'hkbu2011', 'seggaucastle', 'historygeek', 'pusteblume', 'bottle', 'Angstgefühle', 'muster', 'bohostyle', 'lustig', 'tusche', 'aussie', 'buonnatale']"
k mean cluster 132,viennacoffeelifestyle,"['drinkcoffeelikewine', 'makingcomplexitysimple']"
k mean cluster 133,goodday,"['holiday', 'holidays', 'sunnyday', 'colddays', 'gowowcompany', 'lovelyday', 'niceday', 'gooddays', 'Holiday', 'foodgasm', 'covid19', 'goodluck', 'goodenergy', 'roséallday', 'snowyday', 'moodygram', 'foodgraz', 'coldday', 'workday', 'goodstart', 'prouddad', 'goodnews', 'footpain', 'humpday']"
k mean cluster 134,zerowastebaby,[]
k mean cluster 135,birkfeld,"['feedfeed', 'beigefeed', 'rcbirkfeld', 'bürohund', 'parkflair']"
k mean cluster 136,forum1,"['forever', 'beforemytan', 'pwrwmn', 'kurkuma', 'Korcula', 'korcula', 'panorama']"
k mean cluster 137,brunchhardorgohome,"['gohardorgohome', 'brunchpartnersincrime']"
k mean cluster 138,bodypositivity,"['moodyportraits', 'positivity', 'staypositive', 'spreadpositivity', 'booomyourlimits']"
k mean cluster 139,duft,"['luft360', 'gifts', 'dayoff', 'mut', 'buffet', 'diet', 'kunst', 'zukunft', 'saft', 'dart', 'brotduft', 'stuff', 'durst', 'dusk', 'duck', 'duften', 'nuts']"
k mean cluster 140,fieldsofgold,"['pyramidsofgiza', 'oldbutgold', 'fightcoldwithcold', 'friendsnotfood', 'relaxedstateofmind']"
k mean cluster 141,reeloqfeedback,"['thefeedfeedbaking', 'reeloqreview']"
k mean cluster 142,downtowndubai,['youngandurban']
k mean cluster 143,nutritionfirst,"['constructionwork', 'nutrition', 'internationalfriendship', 'inspirationalpost', 'nutrigenomics']"
k mean cluster 144,medienhäuser,"['verenapausder', 'mediterranekueche', 'zeitzuhause', 'Medienhölle', 'seifenblasen', 'weddingmusic', 'medienundcorona']"
k mean cluster 145,trennung,"['werbung', 'gönnung', 'greenjuice', 'awardwinning', 'fraueninführung', 'erektionsstoerung', 'entspannung', 'sportnahrung', 'großeeröffnung', 'Werbung', 'running', 'Eröffnung', 'trending', 'vorsichtigeöffnung', 'StreetArt', 'trendradar', 'opening', 'urbanjungle', 'entspannungpur', 'getrenntewege', 'kundenbindung', 'wiedereröffnung', 'treuepunkte', 'eröffnung', 'tretboot', 'neueröffnung', 'tarnanzug']"
k mean cluster 146,valentinstag,"['valentinesday', 'happyvalentinesday', 'valentinstagsbrunch', 'valentinisstvegan', 'iamgettingold', 'newtoinsta', 'pausensindwichtig', 'vаlеntinеsеvеning']"
k mean cluster 147,lovefotography,"['travelphotography', 'cinematograpgy', 'sophiagrabnerfotografie', 'stadtfotografie', 'livecolorfully', 'fotography', 'livecolourfully', 'lakephotography', 'productfotography']"
k mean cluster 148,visionen,"['winwinwin', 'visitkärnten', 'bibione', 'vision', 'visionskurs', 'visionfinden', 'visionparis', 'visions', 'eisteeohneende', 'videodreh', 'dogcontent', 'visionnaire', 'decisions', 'heldinnen', 'saisonales', 'zischen', 'zirtronen', 'missiongame', 'missiongames', 'daslorenz', 'picknicken', 'Heldinnen', 'zitronen']"
k mean cluster 149,OMotivoNaoEMaisVoce,[]
k mean cluster 150,bierliebe,"['oberameise', 'ganzvielliebe', 'kaffeeliebe', 'biografiearbeit', 'ketoliebe', 'powerriegel', 'bergliebe', 'abenteuerleben', 'bergwiese', 'brotliebe', 'mehlliebe', 'likeforlikes', 'blutlimette', 'kinderlieder', 'teeliebe', 'wienliebe', 'altbauliebe', 'hoamatliebe', 'hamsterliebe', 'partnerbetriebe', 'hundeliebe', 'biermischgetränk', 'beerigesbier', 'verlieben', 'kinoliebe', 'sommerliebe', 'gaaaaanzvielliebe', 'wirliebenpr', 'verliebt', 'waldliebe', 'bittersweet', 'experience', 'bierfreunde', 'bierprobieren', 'bierfotos', 'bieredegarde', 'bierebrune', 'biertrinker', 'berlinvibes', 'berlinbreeze']"
k mean cluster 151,niemogespac,"['onlinemodenschau', 'newmemoriestocome', 'wassermitgeschmack']"
k mean cluster 152,redshift,"['redshift3d', 'berglandschaft', 'traumhaft', 'refreshing', 'trinkenhilft', 'kreativität', 'selbsthilfe', 'partnerschaft', 'kidslife', 'textkraft', 'leidenschaft', 'worldsfirst', 'redshoes', 'Freundschaft']"
k mean cluster 153,textagentur,"['werbeagentur', 'textunsicher', 'visitklagenfurt', 'festamenina', 'fempreneur', 'rechargeyourdna', 'youngtalentscup', 'zeitindernatur', 'sentimental', 'techniccenter', 'gettogether', 'exittheroomklagenfurt', 'marketingagentur']"
k mean cluster 154,spielraum,"['spielberg', 'raspberrysauce', 'spirituellercoach', 'spiegelglasur', 'spaziergang', 'ankerkraut', 'spitzkraut', 'spielsucht']"
k mean cluster 155,mondaymotivation,"['hotsaucecollection', 'mittwochmotivation', 'businessmotivation', 'workoutmotivation', 'sportmotivation', '1minutemeditation', 'runningmotivation', 'tuesdaymotivation']"
k mean cluster 156,projekt,"['hanfprojekt', 'tribeka', 'produkte']"
k mean cluster 157,zerowastekitchen,"['mexikanischeküche', 'tastekitchen', 'garmischpartenkirchen', 'herzjesukirche', 'gerüchteküche', 'probiersmalmitgemütlichkeit']"
k mean cluster 158,notserious,"['porterhouse', 'foodlicious', 'interieur', 'jetferros', 'netherlands', 'latteartlicious', 'whysoserious', 'concerttour', 'shoefielicious', 'angstvorvirus', 'echtsteirisch']"
k mean cluster 159,stylishshoes,"['gschlodashower', 'bestneighborhood', 'shoesshoesshoes', 'stylingshoes', 'santamarinarhodes', 'streetsofrhodes']"
k mean cluster 160,redsunset,"['sunset', 'growthmindset', 'moneymindset', 'coldsunnywheather', 'recommended', 'reisen2021', 'refinedsugarfree', 'wirfreuenunsaufeuch', 'needsummer', 'sunsset', 'vorstellungskraft', 'erfischungsgetränk', 'redcurrant']"
k mean cluster 161,reparierenstattneukaufen,['reparierenistwertschätzen']
k mean cluster 162,igersgrazontour,['igersvöcklabruck']
k mean cluster 163,power,"['manpower', 'soccer', 'croword', 'sommer', 'tonicwater', 'october', 'powerwoman', 'powerwomxn', 'fempower', 'lowcarb', 'hotel', 'porto', 'Hotel', 'queer', 'pfizer', 'somer', 'pokebowl', 'poke', 'lofer', 'model', 'toes', 'opera', 'cover', 'toner', 'spider', 'elder', 'lowsugar', 'prater', 'powerteam', 'powerwomen', 'flower', 'prwork', 'glowup', 'ever', 'mother', 'powerful', 'radweg', 'porec', 'nowater', 'emmer', 'porter', 'popart', 'poster']"
k mean cluster 164,solidaritywithafghanistan,['fullsolidaritywithafghanistan']
k mean cluster 165,myseagullfriend,"['muscarisfrizzante', 'mysecretgardencafe']"
k mean cluster 166,startupstory,"['writeyourstory', 'ownyourstory', 'startupkultur', 'startupcompany', 'startketo', 'startupspritzer', 'startupquotes', 'startuptipps', 'startuphelpingstartups', 'startuptips', 'startupaustria', 'startuppitch', 'fuckupstory', 'strumpfhose', 'startuplife', 'startupbusiness', 'startupscene', 'sparmeetscarry', 'startupflair', 'startupweek', 'startupjourney', 'markthartmannsdorf', 'starttoday']"
k mean cluster 167,grancanaria,"['rafcamora', 'ibracadabra', 'grazaustria', 'sugarcanejuice', 'mitochondria', 'macadamia', 'parrotanafi', 'piazzasanmarco', 'bananabread']"
k mean cluster 168,goodfood,"['foodporn', 'deliciousfood', 'seafood', 'soulfood', 'veggiefood', 'lookbook', 'foodschool', 'toogoodtogo', 'goodmood', 'lovefood', 'awesomefood', 'goodforthesoul', 'greatfood', 'GoodCoffee', 'velofood', 'notfood']"
k mean cluster 169,rebe,"['blue', 'greece', 'nebel', 'incredible', 'relax', 'elbe', 'icetea', 'tee', 'texmex', 'Bebe', 'reggae', 'frisbee', 'liebe', 'gebäck', 'review', 'Icetea', 'hefe', 'memes', 'Grüße', 'recipe', 'recup', 'rewe', 'refresh', 'Brew', 'ruhe', 'gebäude', 'recipes', 'treue', 'kleber', 'rest', 'see', 'reset', 'tube', 'leben', 'ride', 'meme', 'schreiben', 'tree', 'concrete', 'wedge', 'größe', 'reis', 'grenze', 'tempeh', 'realbeauty', 'brews']"
k mean cluster 170,livingthegoodlife,"['drivinghomeforchristmas', 'hikingtheglobe', 'schladmingrohrmoospichl']"
k mean cluster 171,gründen,"['gmunden', 'greenscreen', 'bartender', 'gogreen', 'kärnten', 'gründer', 'gründung', 'gründerin', 'granola', 'trinken', 'grüntee', 'gedanken', 'garden', 'grandeblue']"
k mean cluster 172,lecker,"['wetter', 'selce2k18', 'pancakes', 'leaves', 'applecider', 'icecream', 'megalecker', '1gzucker', 'bäcker', 'lohberger', 'blacktea', 'zucker', 'speaker', 'secret', 'teacher', 'lachen', 'leckerpizza', 'deuter', 'glücksgefühle', 'newcomer', 'leadersclub', 'texter', 'hecke', 'Blockade', 'likör', 'hockey']"
k mean cluster 173,mamaundtochter,['rausausdemmuster']
k mean cluster 174,hugo,"['choco', 'ouro', 'hello', 'auto', 'kubo', 'photo', 'humour', 'togo', 'zug', 'hygge']"
k mean cluster 175,agentur,"['cleansetup', 'adventuretime', 'adventure', '7daysontour', 'allnatural', 'klagenfurt', 'mumpreneur', 'adventureblog', 'abenteuer', 'abenteurer', 'abenteuerlust', 'karriereturbo', 'hagebutte', 'alnatura', 'playpreneur', 'bassguitar', 'openair', 'agenturreindl', 'cafefotter', 'aperitif', 'agenturalltag', 'agenturleben', 'pragentur', 'agenturhund', 'arbeitswut']"
k mean cluster 176,reel,"['green', 'dell', 'xeen', 'greed', 'sweet', 'beer', 'freesoul', 'feels', 'rolemodel', 'reels', 'mehl', 'riegel', 'butreal', 'israel', 'reeloq', 'Tesla', 'trettl', 'career', 'murelli', 'Travel', 'caramel', 'meer', 'deer', 'trees', 'cello', 'beef', 'Beef', 'Greek', 'yellow', 'gefühl', 'heels', 'ideen', 'noel']"
k mean cluster 177,bestegäste,"['raststätte', 'wegotthetaste', 'besterkoch', 'bestmagazine', 'bestewahl', 'herrengasse', 'bestcousin', 'bestnephew', 'bestdrummer', 'bestergeschmack', 'esherbstelt']"
k mean cluster 178,wonderful,"['7wondersoftheworld', 'woodentable', 'wanderlust', 'wohermusik', 'qualderwahl', 'weinviertel', 'wiederoffen', 'sunflowerfield', 'mindful', 'butdrivecarefully', 'colourful', 'waterfall', 'colorful', 'undercut']"
k mean cluster 179,coelhinha,"['irmazinha', 'somethingnew', 'lovetheguinea', 'porcellana']"
k mean cluster 180,tflers,"['colours', 'onlinekurs', 'tellers', 'fleisch', 'talents', 'tollepreise', 'tulips', 'effects', 'teledysk', 'tegelersee']"
k mean cluster 181,reelsindia,"['rezeptidee', 'feeling22', 'reeloqselfie', 'charlesswindoll', 'bellaitalia', 'igersitalia', 'recordingstudio', 'acropolislindos', 'relajada']"
k mean cluster 182,igersgrazontour,[]
k mean cluster 183,droetker,"['kroatien', 'hardseltzer', 'godmother', 'shoemaker', 'together']"
k mean cluster 184,foodphotography,"['photography', 'FoodPhotography', 'foodtography', 'foodtographyschool', 'monochromephotography', 'fashionphotography', 'canonphotography', 'outdoorphotography', 'photographer', 'foodphotographer', 'foodphotopraphy', 'cozumelphotographer', 'cityphotography', 'nightphotography', 'minimalphotography', 'animalphotography', 'castlephotography', 'flyingphotography', 'photpgraphy', 'productphotography', 'beerphotography']"
k mean cluster 185,entrepreneurlife,"['machenistwiewollennurkrasser', 'sekundaerepflanzenstoffe', 'unseretürenstehenoffen', 'entrepreneurship', 'entrepreneur', 'underwaterlife', 'goldenretrieverlove']"
k mean cluster 186,samstag,"['geburtstag', 'jahrestag', 'zahntabsl', 'snacktogo', 'carmushka', 'kapstadt', 'sansual', 'backstage', 'seastar', 'seiachtsam', 'sonntag', 'carryimspar', 'sonntags', 'earthismagic', 'vatertag', 'passage']"
k mean cluster 187,fowers,"['flowers', 'noregrets', 'fkcojònes', 'flowergram', 'doers', 'fireworks', 'fromwhereistand', 'cofounders', 'flowerdress', 'models', 'jobwechsel', 'feiern', 'footwearnews']"
k mean cluster 188,gymbassador,[]
k mean cluster 189,horse,"['workspace', 'onset', 'sofresh', 'sofree', 'hoppl', 'torte', 'thcfree', 'herbst', 'homemade', 'horselove', 'asiahouse', 'ahorn', 'corgi', '25hours', '25hoursvienna', 'choose', '14hoursdone', 'hermes', 'hours', 'torten', 'hochwurzen', 'heroes']"
k mean cluster 190,gesundfrühstücken,"['gesundsnacken', 'geschaeftentwickeln']"
k mean cluster 191,leichtigkeit,"['placetovisit', 'grillzeitschönstezeit', 'achtsamkeit', 'sichtbarkeit', 'peinlichstermoment', 'tagdernachhaltigkeit', 'fakeittillumakeit', 'flüssigkeit', 'menschlichkeit', 'richtigerzeitpunkt', 'lorenzpicknickbox']"
k mean cluster 192,anleitungen,"['appleipadpro', 'mussmanerlebthaben', 'wahrheitleben', 'belästigungvonfrauen', 'kleinunternehmen', 'apfelkuchen', 'zeitunglesen', 'Bestellungen', 'bedeutungvonnamen', 'wanderungen', 'anonymitätwahren', 'auszeitmitfreunden', 'brainisleseempfhelungen', 'feiernmitfreunden', 'feiernmitkindern']"
k mean cluster 193,newadventures,"['catadventures', 'hikingadventures', 'adventuresahead', 'adventureseeker', 'reeloqadventure', 'traveladventure', 'traveladventures', 'newchallenges']"
k mean cluster 194,village,"['vernissage', 'zuvielgegangen', 'fireplace', 'villach', 'vintage', 'airplane', 'billardcafe', 'billard', 'newpage', 'thirdplace', 'umfrage', 'timelapse', 'hilmwarte', 'metallallergie']"
k mean cluster 195,inklusivesrestaurant,['inderruheliegtdiekraft']
k mean cluster 196,guitarlover,"['Naturelover', 'ciderlover', 'spotifytakeover', 'mittelmeer', 'organichardseltzer', 'picturelover', 'guinessworldrecord', 'burgerlover', 'guitarist', 'guitarista', 'guitarrista', 'guitarsolo', 'guitarsolos', 'guitarlove', 'guitarlovers', 'guitarlife', 'femaleguitarplayer', 'naturelover', 'hinterstoder', 'gewitterwolken']"
k mean cluster 197,strategy,"['strawberry1', 'sertanejo', 'strawberry', 'strategie', 'prstrategie', 'storyteller', 'austriatoday', 'austriatour', 'stradnerkogel']"
k mean cluster 198,em,"['sea', 'tea', 'elf', 'germ', 'team', 'pet', 'atempo', 'epa']"
k mean cluster 199,drinkstagram,"['bookstagram', 'drinkstarter', 'drinkstartup', 'meinestadtgraz', 'flowerstagram', 'drinksofinstagram', 'chinarestaurant', 'doitforthegram', 'drinkwasser', 'cloudstagram', 'drinkcraftnotcrap']"
k mean cluster 200,anstossen,"['187strassenbande', 'ginstollen', 'zakynthosisland', 'abendessen', 'plantbased', 'skullandrosesenergy', 'bestofvegan', 'instrumente', 'dankbarsein', 'achtsamsein', 'placestovisit', 'spaßmusssein', 'lalehosmany']"
k mean cluster 201,miraclesareeverywhere,[]
k mean cluster 202,inthenews,"['findthemagic', 'awareness', 'mitmeinemädls', 'interview', 'mindfulness', 'igtvvideos', 'WithRefugees', 'igersthinkers', 'interessant', 'insiderockets', 'bytheocean', 'childoftheuniverse', 'marrynews', 'behindthescenes', 'idontgiveashit', 'ninewinewine', 'tüteneis', 'upinthesky']"
k mean cluster 203,gutessen,"['delicatessen', 'bewusstessen', 'gesundessen', 'guess', 'gutenmorgen', 'gutscheineinlösen', 'mittagessen', 'gutelaunetee', 'gutessengraz', 'gitarrespielen', 'guteӏаunе', 'wirtesten']"
k mean cluster 204,roggenbrot,"['dinkelbrot', 'vollkornbrot', 'butterbrot', 'lowcarbbrot', 'proteinbrot', 'logoutbrewon', 'rotweissrot']"
k mean cluster 205,feminismus,"['hikingisfun', 'feminity', 'feminism', 'delicious', 'hibiskus', 'GemaltesHaus', 'skateboardingisfun', 'feminist', 'surrealismus', 'feiernmitmädels', 'schladmingtourismus']"
k mean cluster 206,Topevent,"['1advent', 'xmaspresent', '3advent', '2advent', 'experiment', 'yogajedentag', 'kochenverbindet', 'announcement', 'kotelett']"
k mean cluster 207,franzwimner,"['daswohnzimmer', 'frauenimbusiness', 'trinkwasser', 'friendsdinner', 'lorenzpicknick', 'fritzortner']"
k mean cluster 208,veganbreakfast,"['instabreakfast', 'sweetbreakfast', 'latebreakfast', 'fotterbreakfastclub', 'bestbreakfast', 'veganfortheanimals', 'veganfortheplanet', 'riedenburgerbrauhaus']"
k mean cluster 209,fridayvibes,"['springvibes', 'luxuryvibe', 'greecevibes', 'sundayvibes', 'morningvibes', 'italyvibes', 'thursdayvibes', 'fridayfeet']"
k mean cluster 210,niemogespac,[]
k mean cluster 211,streuselkuchen,"['joghurtkuchen', 'streetstyleluxe', 'wirliebenunserekunden', 'faschiertelaibchen']"
k mean cluster 212,happytomeetyou,"['happyhalloween2020', 'happymoments']"
k mean cluster 213,lookinggood,"['weekendmood', 'morningyogaflow', 'playingpool', 'lookingforward', 'lockdownmood', 'springmood', 'comingsoon', 'feelinggood', 'lookingmybest']"
k mean cluster 214,skinproducts,"['execproducer', 'commercialproducer', 'hanfprodukte', 'hikinggadgets', 'femaleproducers', 'skinfluencer', 'saynotoracism']"
k mean cluster 215,healthyco,[]
k mean cluster 216,frauenrechte,"['frauennetzwerk', 'frauenfürfrauen', 'frauenpodcast', 'frauenunterstützenfrauen', 'frauensindschön', 'frauensindkeineobjekte', 'frauenkaffee', 'zitateundsprüche', 'frauenbusiness', 'frauenintechnik', 'frauenintech', 'frauenvorbilder', 'frauengeschichte', 'gefriergetrocknet', 'getrocknetefruechte', 'kreativegerichte', 'challengeaccepted', 'frauentag2020', 'rotefrüchte', 'öffnungsschritte', 'frankreich', 'warschauerbrücke']"
k mean cluster 217,frohlichsein,"['herrlichejausen', 'köstlichkeiten', 'ehrlichkeit', 'herzlichkeit', 'pflanzlichesprotein', 'fabeltischdeckdich', 'prettylittleinspo', 'froheweihnachten', 'endlichfertig', 'frühlingsgefühle', 'frühlingsbeginn', 'frühlingsstimmung', 'frühlingserwachen', 'frühlingsblumen', 'frohlichkeit', 'glucklichsein', 'nachdenklichkeit', 'friedrichshafen', 'friedrichshain']"
k mean cluster 218,hair,"['cairo', 'nairobi', 'flir', 'chai', 'hvar', 'hydra', 'hallein', 'rawr', 'nobehavior', 'lawif', 'hammer', 'longhair', 'haidi', 'haha', 'wavyhair', 'fair', 'nicehaircut', 'zadar', 'redhair', 'chaos', 'haut']"
k mean cluster 219,learntoswim,['learnsomethingnew']
k mean cluster 220,takecare,"['timeular', 'saltedcaramel', 'landscape', 'marketgarden', 'takeover', 'malozarace', 'datecake', 'cheesecake', 'starkefrauen', 'oralcare', 'mitocare', 'shakespeare', 'Supercharger', 'takeyourchance', 'wakepark', 'wakeboard', 'timetowake', 'selfcare', 'skincare', 'atmosphare', 'timesquare', 'takebreaks', 'neuekarte', 'warmcore', 'dankefüralles', 'justtakeapicture', 'taketime', 'takeabreak', 'tarteflambee', 'flamecake', 'secretcave', 'Dänemark', 'danemark', 'fakeleather', 'royaheydari']"
k mean cluster 221,jhornig,"['networking', 'cozymorning', 'jumphigh', 'honig', 'jhornigcoffee', 'zitronig', 'wording', 'boholiving', 'morning']"
k mean cluster 222,artinspiration,"['administration', 'inspiration', 'ginspiration', 'dailyinspiration', 'outfitinspiration', 'noartificialanything', 'boudoirinspiration', 'styleinspirations', 'aktiveregeneration', 'artistsintimesofcorona', 'artinstallation', 'artinspirations', 'interiorinspiration', 'travelinspiration', 'natureinspiration', 'againstdeportations', 'againstracism']"
k mean cluster 223,city,"['diy', 'cine', 'cozy', 'fifty9', 'cute', 'cityview', 'nirto', 'panchito', 'citytrip', 'crazy', 'juicy', 'cats', 'itg', 'citybreak', 'kitty', 'society', 'comfy']"
k mean cluster 224,birthday,"['beachdays', 'beachday', 'dirtythirty', 'birthdaybash', 'birthdaygirl', 'prebirthday', 'pretendbirthday', 'eliasbirthday', 'birthdaycake', 'happybirthdaytome', 'selfietoday', 'earthday', 'bisexual', 'bibimbap', 'cybermonday', 'balthasar', 'birthdaytrip', 'enjoyingmybirthday', 'ilovemybirthday', 'happybirthday', 'justtoday']"
