username, is_a_company, is_a_deep_crawl
lukaswatzinger,False,True
gandi_7717,False,True
lenafroih,False,True
moritzfrank95,False,True
aar_on901z,False,True
st.de88,False,True
pipapograz,False,True
sagneinzuplastik,False,True
_fika36,False,True
fraeuleinastrid,False,True
michael_pummer_friseure,False,True
philipp_shine,False,True
konstantinschmelz,False,True
claudiavanessaalice,False,True
naturecaro_,False,True
tai.11,False,True
march.care,False,True
glanzer_alpakas,False,True
tina.diels,False,True
studioninprantner,False,True
melli_lenzing,False,True
sophiesemlitsch,False,True
adamer_mat,False,True
muttertier668,False,True
time4milkshake,False,True
_amra_candic_,False,True
seaityourself,False,True
liv.kreativstudio,False,True
impactideas_,False,True
esskultur.zuerich,False,True
phil_von_stone,False,True
sbstnrauer,False,True
kloana_steirabua,False,True
julia.repp,False,True
hrvaticaaa__,False,True
lannalovesnature,False,True
heidrungirz,False,True
ordito_official,False,True
jen_white91,False,True
omegamaxfrio,False,True
schnellsteff,False,True
_._.sabriina._._,False,True
pattimsyd,False,True
chrisceletz,False,True
steinbauermagdalena,False,True
nutrys_de,False,True
lestissuscolbertgraz,False,True
msjulijulsen,False,True
lisa_stueckli,False,True
lissi_11,False,True
vj_dukgh,False,True
johanna_vom_feld,False,True
lavidaloca_randall,False,True
malaofgrace,False,True
nextspecialty_coffee,False,True
jumpls.de,False,True
christianpipal,False,True
andrea_kraihammer,False,True
margaretakocht,False,True
davidtru__,False,True
m.anuel.edl,False,True
carintschn_,False,True
lizakoelbl,False,True
else_mack,False,True
uptown_marge,False,True
sochri_,False,True
katy_jamnig,False,True
darlotfi,False,True
juergene0301,False,True
rebenskunst,False,True
leniii2000,False,True
_m.krasic,False,True
verakleinschuster,False,True
bilderfuergraz,False,True
laurasophiegerencser,False,True
dorischlager,False,True
s.unn.y.sun,False,True
fabio.cassitta,False,True
franziiruns,False,True
detaillovin,False,True
sh_kavoshgar,False,True
lisa_fassl,False,True
olga.nino_manualidades,False,True
pialinasunny,False,True
adamyyyadam,False,True
kathibling,False,True
laurhab,False,True
melanie_andrae,False,True
kristina.weitacher,False,True
eifelimbiss,False,True
caroline_hainfellner,False,True
mak.laus.ava,False,True
marenfeles,False,True
durstloescher_friends,False,True
alexandra.stefanie,False,True
kutilincreations,False,True
aula_space,False,True
chris.derstolz,False,True
weberbernhard,False,True
der_curly,False,True
talk4sustainability,False,True
saba_paintings,False,True
neuner_s,False,True
das_kaffeemaedchen,False,True
skinnovation.io,False,True
sabine.sjl,False,True
kucheninsel,False,True
kwirl8020,False,True
justmove.ocr,False,True
annsophieeg,False,True
durstloescher_von_moers,False,True
victoriafellner,False,True
caro2go,False,True
be_an_ie,False,True
dieparadeiser,False,True
ihavethisthingwithgraz,False,True
__isabellaviktoria,False,True
tourismschoolsbg,False,True
roestwerkhoerde,False,True
rigrx,False,True
niceicebaby_graz,False,True
thomasberghold,False,True
zerowaste_ninaallecramgoldkind,False,True
blondibella_,False,True
charliie_murphy,False,True
pureskinfood,False,True
sandrakleewein,False,True
thepigeonboysofficial,False,True
nik_taccrual,False,True
b.palimpalim,False,True
maramadita,False,True
st.effionig,False,True
little_miss_sundayy,False,True
centerwest.graz,False,True
kati_fei,False,True
lenapronova,False,True
emmy_emmly,False,True
wolfsbohne.nord,False,True
enterpriseleague,False,True
_zokito_,False,True
fraeulein_wald0210,False,True
swallowdrinks,False,True
sanfred_y_el_mundo,False,True
tornquisthome,False,True
danielmulec,False,True
_schroe_,False,True
_fragdoch_mal,False,True
frischphilipp,False,True
johannesmueller93,False,True
_annikaverena_,False,True
dreileut,False,True
diebeautyboutique,False,True
innotum,False,True
bodenoutlet,False,True
sei_wunderbar,False,True
zanfleisaker,False,True
catharinahofbauer,False,True
marks_teezeit,False,True
elli.the.swallow,False,True
sei_giorni_bar,False,True
cloodia1309,False,True
espressomobil,False,True
dagmars_wunderbar,False,True
gehtohne,False,True
sarahoberl,False,True
xkid_93,False,True
sandro.lu,False,True
alexis_ble,False,True
mensen.at,False,True
gumpelmaier,False,True
christieamarillis,False,True
mias_photoart,False,True
miriamusmaximus,False,True
markusschoggler,False,True
civilettogiulia18,False,True
datewiththegoodstuff,False,True
peacesupply.co,False,True
nika_bittner,False,True
keinelimo,False,True
landproduct,False,True
simply_vp,False,True
menofsteelblog,False,True
atha.ishak,False,True
dieeisperle,False,True
hungariangentlemen,False,True
andrea_stocker,False,True
super.zippy,False,True
robertrethink,False,True
kangaroo_poop12,False,True
sophiaan,False,True
valeria_bassetti,False,True
julia_gritschacher,False,True
johaensen_tho,False,True
andyschweighart,False,True
glaeserundflaschen,False,True
tina.autside,False,True
kumailnasser,False,True
elenaa.reindl,False,True
kuhnenfeld,False,True
yooweedoo.diezukunftsmacher,False,True
__signorenero,False,True
martinrsc,False,True
energieleben,False,True
lenuta_misca,False,True
melinda.xa,False,True
beveragesfreak,False,True
tobihaas,False,True
teekontor_nevo_ca,False,True
marklotusf1,False,True
frittiertschockiert,False,True
victoria_reiter_,False,True
bdat54,False,True
___vani____,False,True
iwieiris,False,True
_mel__so,False,True
willbeesley23,False,True
accushop,False,True
vespaboerni,False,True
__.franzi.___,False,True
piapi.a,False,True
stephaniepuntigam,False,True
toowooltobecool,False,True
hejnola,False,True
as_ecom_solutions,False,True
eoh.dna,False,True
siply_tealicious,False,True
natlixc,False,True
tschnitis,False,True
wukiuki,False,True
foodphilosoph.y,False,True
mind.without.limits,False,True
dapoandfriends,False,True
papagei_bild,False,True
mom_rsdrf,False,True
stefanieleitner_weddings,False,True
tstrohmeier,False,True
sarahasteiner,False,True
skofi_,False,True
monika_stmk,False,True
raphael.prinz,False,True
betterfood_blog,False,True
vereinsteirermitherz,False,True
milianmilesclothing,False,True
gre.ta837,False,True
lukasderbaer,False,True
fitfoodo,False,True
outdoorpinzgau,False,True
shyti.10,False,True
ines_woeckl,False,True
dominik.weiss_,False,True
what.the.lizz,False,True
larryvolleytv,False,True
greekoilcompany,False,True
berryme.austria,False,True
novapark_flugzeughotel,False,True
makeitsweet.de,False,True
peterpossart,False,True
official.paleoveda,False,True
aalmaaberg,False,True
cathy_zimmermann,False,True
positivepuglia,False,True
glassy.glashalm,False,True
alinasgreenworld,False,True
laxobu,False,True
wachau_photo,False,True
vvricardo,False,True
karo.m.karo,False,True
danigabriel,False,True
kimmi_testet,False,True
anjaerdbrink,False,True
habetlerhans,False,True
barbecuemaster_christian,False,True
yvessimon.de,False,True
viertel4,False,True
amzlifestylee,False,True
desublin_,False,True
christine_minimal,False,True
manfredpreininger,False,True
vanessa_falmbigl,False,True
haraldgesierich,False,True
gruberannaa,False,True
hamid.r.2623gmail.com1,False,True
makonta_official,False,True
happy_foodmaker,False,True
sneg.shot,False,True
theswimbikerunyogini,False,True
katii.jg,False,True
kathi_snowwhite,False,True
supi_sue,False,True
max.schmierdorfer_yangi.world,False,True
andrea_schwarzbauer,False,True
prasath_knockme,False,True
patandjor,False,True
kleidermacherei,False,True
ena.maria.b,False,True
anni_dorfer,False,True
rosesandcherries,False,True
tinacalmeras,False,True
mr_dd_machhi,False,True
sabine_siegl,False,True
chrisdeu,False,True
j_.karina,False,True
jamie_the_bordercolliemix,False,True
1234678010a,False,True
downinthepast,False,True
bridebookdecor,False,True
kanevry,False,True
mm_magic_moments,False,True
freelancerpodcast,False,True
niicolee.kr,False,True
drinkdaddies,False,True
berni_de_roja,False,True
patci_herzog,False,True
magda.mag.das,False,True
looply_software,False,True
kingarmin08,False,True
healthierwithme_lenna,False,True
_live.life.laught_,False,True
